Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3_RSI_40_60;OP4_BB8020;OP5_SO8020;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;1,149550;;;;;;;;;;;;;;;
6.09.2000;1,043527;;;;;;;;;;;;;;;
7.09.2000;1,107143;;;;;;;;;;;;;;;
8.09.2000;1,051339;;;;;;;;;;;;;;;
11.09.2000;1,043527;;;;;;;;;;;;;;;
12.09.2000;1,03125;;;;;;;;;;;;;;;
13.09.2000;1,035714;;;;;;;;;;;;;;;
14.09.2000;1,015346;;;;;;;;;;;;;;;
15.09.2000;0,986328;;;;;;;;;;;;;;;
18.09.2000;1,083147;;;;;;;;;;;;;;;
19.09.2000;1,070313;;;;;;;;;;;;;;;
20.09.2000;1,090123;;;;;;;;;;;;;;;
21.09.2000;1,012277;;;;;;;;;;;;;;;
22.09.2000;0,93192;;;;;;;;;;;;;;;
25.09.2000;0,955357;36,14336071;;;-14,31429968;12,8;;;;;;;;;;
26.09.2000;0,918527;38,45355187;;;-11,97860717;-7,64;;;;;;;;;;
27.09.2000;0,873884;27,67082951;;;-21,06855212;-23,67;;;;;;;;;;
28.09.2000;0,955357;41,24232647;;;-9,12950057;37,68;;;;;;;;;;
29.09.2000;0,459821;21,82102747;;;-55,93587899;-191,48;;;;;;;;;;
2.10.2000;0,433036;21,51958637;;-20,64161673;-58,0086303;-4,25;-398,89;;;;;;;;;
3.10.2000;0,398438;20,50614891;;-9,474726027;-61,53011353;-5,27;-291,05;;;;;;;;;
4.10.2000;0,421875;22,61129771;;2,150439856;-58,45012439;3,39;-198,02;;;;;;;;;
5.10.2000;0,393973;22,63461291;;6,262990724;-60,05659375;-0,65;-161,02;;;;;;;;;
6.10.2000;0,396205;15,22587373;;11,79929328;-63,42093917;0,32;-127,45;;;;;;;;;
9.10.2000;0,388393;15,30368435;;15,46983683;-63,71220381;-0,8;-107,57;;;;;;;;;
10.10.2000;0,372768;13,3446362;;17,95207041;-65,80495962;-2,23;-95,4;-33,51;;;;;;;;
11.10.2000;0,350446;14,14740587;;19,57185532;-65,38042453;-3,49;-88,07;-34,44;;;;;;;;
12.10.2000;0,357143;16,16287681;;23,08486363;-61,67664606;1,11;-76,5;-34,96;;;;;;;;
13.10.2000;0,393973;17,46437439;;28,4542058;-58,76169851;7,2;-60,86;-34,68;;;;;;;;
16.10.2000;0,383929;18,02398748;;29,77851211;-58,20166419;5,54;-57,61;-34,37;;;;;;;;
17.10.2000;0,359375;18,46780095;;29,76352255;-58,87612086;1,48;-58,89;-34,26;;;;;;;;
18.10.2000;0,359375;9,422446873;;31,60158059;-62,38317195;1,48;-55,28;-33,97;;;;;;;;
19.10.2000;0,33817;26,60944536;;31,39776984;-26,45616446;-11,22;-58,95;-33,84;;;;;;;;
20.10.2000;0,348214;32,56857732;90,52;34,32520531;-19,5877479;10,59;-53,88;-33,36;2;0;1;0;1;0;1;1
23.10.2000;0,363839;42,28833544;88,3;37,90456608;-8,683659691;30,67;-46,95;-32,46;2;2;0;0;0;0;1;0
24.10.2000;0,337054;31,37251457;75,88;35,97616928;-20,10571852;-1,33;-63,41;-31,95;2;0;1;0;1;0;1;1
25.10.2000;0,330357;34,59452129;67,97;36,07471499;-16,14729943;-11,32;-77,68;-31,44;2;0;1;0;1;0;1;1
26.10.2000;0,330357;33,87974931;55,76;18,07877184;-16,61967921;0;-108,46;-30,79;2;0;1;1;1;0;1;1
27.10.2000;0,331473;35,59308306;49,47;19,29765087;-14,65525898;1,75;-100,2;-30;0;0;1;1;1;0;1;0
30.10.2000;0,344866;42,85706971;45,33;31,86448809;-7,485084557;22,81;-57,74;-28,87;0;0;0;0;0;0;1;0
31.10.2000;0,34933;49,68555231;41,4;37,85317049;-0,318451345;29,82;-40,09;-27,62;1;1;0;0;0;0;0;0
1.11.2000;0,366071;52,3808254;33,62;57,83147718;2,499839;56,14;22,56;-26,02;1;1;0;0;0;0;0;0
2.11.2000;0,398438;51,21971208;21,73;93,7461952;1,133326395;107,02;150,09;-23,85;1;1;0;2;2;0;0;0
3.11.2000;0,397321;53,84588876;20,7;92,25567249;3,488144943;98,36;144,47;-21,89;1;1;0;2;2;0;0;0
6.11.2000;0,382813;57,14303129;20,48;76,75672333;6,521878261;77,05;86,83;-20,4;1;1;0;0;0;0;2;0
7.11.2000;0,38058;56,37571785;20,4;73,47179773;5,900521739;73,77;74,6;-19,05;1;1;0;0;0;0;2;0
8.11.2000;0,358259;55,99990443;20,87;48,07128105;5,940503297;40,98;-7,98;-18,23;1;1;0;0;0;0;2;0
9.11.2000;0,360491;53,84620204;21,27;50,39020543;3,525705457;44,26;-0,78;-17,36;1;1;0;0;0;0;0;0
10.11.2000;0,340402;42,85731701;20,18;29,90079312;-6,441585427;14,75;-68,69;-16,92;1;1;0;0;1;0;1;0
13.11.2000;0,345982;53,12478125;26,88;38,26857049;2,648833718;22,95;-40,24;-16,29;1;1;0;0;0;0;0;0
14.11.2000;0,361607;60,29409827;36,68;57,15952786;9,45946355;45,9;20,75;-15,3;1;1;2;0;0;0;2;0
15.11.2000;0,354911;57,74662107;44,5;49,28275863;7,432565376;36,07;-4,29;-14,49;1;1;0;0;0;0;2;0
16.11.2000;0,339286;52,25820996;41,35;30,14385004;2,357054722;11,67;-67,88;-14,05;1;1;0;0;1;0;0;0
17.11.2000;0,330357;45,69534852;36,24;21,36412008;-4,207141324;-15,1;-97,72;-13,75;1;1;0;0;1;0;0;0
20.11.2000;0,33817;46,75347343;38,57;32,27816776;-3,194686972;11,48;-59,37;-13,21;1;1;0;0;1;0;0;0
21.11.2000;0,335938;40,42588344;35,72;29,78389347;-8,231463295;8,2;-67,79;-12,7;1;1;0;0;1;0;1;0
22.11.2000;0,330357;23,93150611;26,13;23,28538305;-17,08697464;0;-90,24;-12,29;1;1;1;0;1;1;1;1
24.11.2000;0,344866;31,78304265;37,66;39,01905648;-13,20217154;21,67;-37,3;-11,51;1;1;1;0;0;0;1;1
27.11.2000;0,333705;32,53950194;42,53;25,37994617;-12,82819549;6,38;-83,45;-11,03;1;1;1;0;1;0;1;1
28.11.2000;0,321987;30,48344225;43,45;14,6240665;-15,39571181;-16,67;-121,91;-10,8;1;1;1;1;1;0;1;1
29.11.2000;0,313616;33,60653932;51,89;10,25228797;-12,46109658;-21,13;-136,78;-10,71;0;0;1;1;1;0;1;1
30.11.2000;0,294643;28,46725353;46,27;0,089282967;-18,26619805;-39,53;-181,94;-10,98;0;0;1;1;1;1;1;1
1.12.2000;0,304688;37,500175;61,48;12,47013295;-10,49171274;15;-138,38;-10,86;2;2;1;1;1;0;1;0
4.12.2000;0,297991;33,33356486;57,42;8,499971335;-13,87095282;5;-156,39;-10,81;2;0;1;1;1;0;1;1
5.12.2000;0,303571;28,33345778;54,53;16,80041292;-16,04946807;13,33;-120,79;-10,54;0;0;1;1;1;1;1;1
6.12.2000;0,25558;21,65615637;41,35;-18,29483414;-27,98757998;-64,82;-287,97;-11,42;1;1;1;1;1;1;1;1
7.12.2000;0,25558;23,77631579;49,58;-5,875898061;-24,67122133;0;-219,42;-12,04;0;0;1;1;1;1;1;1
8.12.2000;0,268973;31,29266628;57,59;10,42714284;-18,58111074;15;-141,04;-12,09;2;0;1;1;1;0;1;1
11.12.2000;0,271205;28,87312835;57,22;16,42355315;-19,80217051;17,5;-113,57;-11,95;2;0;1;1;1;1;1;1
12.12.2000;0,274554;30,76942356;58,66;22,12426001;-18,27241932;21,25;-91,6;-11,64;2;0;1;0;0;0;1;1
13.12.2000;0,267857;30,55576296;56,97;19,79247028;-18,9189271;13,75;-97,43;-11,46;2;0;1;1;1;0;1;1
14.12.2000;0,257813;22,14321828;48,85;15,35665901;-25,24255798;2,5;-112,34;-11,49;0;0;1;1;1;1;1;1
15.12.2000;0,251116;22,79444221;50,31;14,29822876;-24,74910475;-5,71;-114,85;-11,59;0;0;1;1;1;1;1;1
18.12.2000;0,254464;26,45920637;54,93;20,2605321;-20,97072242;4,72;-93,8;-11,46;0;0;1;0;1;1;1;1
19.12.2000;0,25;27,2002007;54,84;19,89050794;-20,28467935;-1,79;-93,74;-11,38;0;0;1;1;1;1;1;1
20.12.2000;0,256696;35,0875952;61,46;27,37159164;-12,87897557;12,24;-69,37;-11,02;2;2;1;0;1;0;1;0
21.12.2000;0,251116;28,18161084;55,7;25,2668745;-17,58257627;2,04;-76,89;-10,78;2;0;1;0;1;1;1;1
22.12.2000;0,267857;38,65539259;61,39;41,28320082;-10,11238594;33,33;-27,81;-9,99;2;2;1;0;0;0;1;0
26.12.2000;0,262277;34,453965;55,5;37,73156434;-13,60274862;22,92;-39,7;-9,42;2;0;1;0;0;0;1;1
27.12.2000;0,264509;55,12848495;76,14;42,27953905;3,493622349;59,09;-26,55;-8,8;2;2;0;0;0;0;2;0
28.12.2000;0,264509;55,12848495;70,95;44,56694344;3,493622349;59,09;-20,22;-8,22;2;2;0;0;0;0;2;0
29.12.2000;0,265625;47,76131379;62,3;48,08757313;-1,244734602;63,64;-9,02;-7,64;2;2;0;0;0;0;0;0
2.01.2001;0,265625;46,15405823;54,26;51,14323032;-2,057484191;63,64;1,86;-7,1;0;0;0;0;0;0;0;0
3.01.2001;0,292411;59,30236193;60,47;102,1780446;6,504002856;172,73;222;-5,8;2;2;0;2;2;0;2;0
4.01.2001;0,304688;68,13245242;63,86;124,2814601;13,75024733;128,95;344,58;-4,37;2;2;2;2;2;0;2;2
5.01.2001;0,292411;66,66666667;56,03;94,49178693;13,41980428;77,55;182,79;-3,55;2;2;2;2;0;0;2;2
8.01.2001;0,295759;72,22260939;56,1;93,66790594;17,77783972;83,67;170,58;-2,78;2;2;2;2;2;2;2;2
9.01.2001;0,30692;74,22730884;53,99;101,6303274;20,61431087;104,08;194,83;-1,83;0;0;2;2;2;2;2;2
10.01.2001;0,295759;69,90300552;45,69;82,59706577;18,3036;80,39;105,81;-1,38;0;0;2;2;2;0;2;2
11.01.2001;0,321429;74,16690933;49,85;105,3187425;25,21776732;126;190,6;-0,3;0;0;2;2;2;2;2;2
12.01.2001;0,30692;69,53128281;43,25;84,44833343;22,22239921;79,37;104,02;0,14;1;1;2;2;0;0;2;2
16.01.2001;0,305804;64,9124048;35,02;79,96364475;14,16688756;73,59;86,69;0,45;1;1;2;0;0;0;2;0
17.01.2001;0,300223;64,91189462;35,5;71,67870802;14,46790988;64,15;60,13;0,54;1;1;2;0;0;0;2;0
18.01.2001;0,333705;71,83059489;48,04;100,2750173;26,16016846;121,57;156,91;1,49;0;0;2;2;2;2;2;2
19.01.2001;0,348214;74,19317545;51,38;105,072029;31,64542605;120,97;185,52;2,58;0;0;2;2;2;2;2;2
22.01.2001;0,34375;72,15168339;47,93;94,67362381;29,41176471;94,59;154,75;3,27;0;0;2;2;2;2;2;2
23.01.2001;0,366071;75,2806274;53,25;105,0535686;37,81496471;121,62;207,65;4,31;0;0;2;2;2;2;2;2
24.01.2001;0,366071;71,42823896;44,42;97,44879896;25,19057081;100;175,3;5,05;1;0;2;2;2;2;2;2
25.01.2001;0,356027;65,13148199;40;85,86626756;16,84969543;86,36;124,58;5,3;1;1;2;2;2;0;2;2
26.01.2001;0,34933;67,34668999;41,73;78,09128573;19,46540999;77,27;89,41;5,27;1;1;2;0;0;0;2;2
29.01.2001;0,387277;73,03359475;51,01;100,262344;30,94343706;130,16;169,09;6,07;0;0;2;2;2;2;2;2
30.01.2001;0,388393;71,59747001;48,31;95,62855589;26,54535384;101,22;147,83;6,63;0;0;2;2;2;2;2;2
31.01.2001;0,386161;75,15526913;50,59;90,36238298;30,56610281;97,59;124,79;6,91;0;0;2;2;2;2;2;2
1.02.2001;0,377232;67,12305228;42,32;80,59977315;17,36091019;87,34;91,54;6,84;1;1;2;2;2;0;2;2
2.02.2001;0,368304;69,50357765;44,37;71,772542;20;77,22;63,22;6,5;1;1;2;0;0;0;2;2
5.02.2001;0,360491;66,66646349;43,8;64,09639026;17,88302311;68,35;40,32;5,98;1;1;2;0;0;0;2;2
6.02.2001;0,377232;71,97456955;50,17;74,81917034;25,65059972;87,34;75,61;5,88;0;0;2;0;2;2;2;2
7.02.2001;0,370536;62,40627337;39,83;67,43887779;11,03699375;67,35;53,15;5,58;1;1;2;0;0;0;2;0
8.02.2001;0,370536;58,33358222;38,06;65,59837884;6,410425773;60;47,67;5,28;1;1;0;0;0;0;2;0
9.02.2001;0,341518;49,29581908;35,29;37,71352071;-0,649309091;-5;-42,57;4,35;1;1;0;0;1;0;0;0
12.02.2001;0,351563;45,03850731;36,11;44,53302321;-3,963165615;21,43;-20,25;3,79;1;1;0;0;0;0;0;0
13.02.2001;0,341518;42,14309028;37,67;29,74824725;-6,707168828;0;-71,46;3,09;1;1;0;0;1;0;1;0
14.02.2001;0,348214;47,44511226;46,76;30,25758821;-2,194496485;14,28;-62,98;2,65;0;0;0;0;1;0;0;0
15.02.2001;0,358259;52,85726171;53,7;43,08015536;2,55603584;35,71;-22,81;2,5;0;0;0;0;0;0;0;0
16.02.2001;0,339286;32,5203785;40,05;13,83150561;-12,39190554;-4,76;-120,16;1,93;1;1;1;1;1;0;1;1
20.02.2001;0,327009;29,32335386;40,66;0,093903839;-15,80461028;-25;-176,26;1,18;1;1;1;1;1;1;1;1
21.02.2001;0,337054;34,28586057;47,94;18,40504786;-12,7167166;16,98;-104,32;0,81;0;0;1;1;1;0;1;1
22.02.2001;0,335938;36,09048896;53,31;20,15834434;-10,94657929;17,78;-96,9;0,48;0;0;1;0;1;0;1;0
23.02.2001;0,335938;38,40011469;59,31;22,50905289;-8,787849168;17,78;-87,01;0,22;2;2;1;0;1;0;1;0
26.02.2001;0,348214;45,73635334;66,26;38,5483877;-3,405632873;42,22;-35,95;0,29;2;2;0;0;0;0;0;0
27.02.2001;0,345982;37,93100785;60,92;37,55146234;-8,284026806;37,78;-39,16;0,29;2;2;1;0;0;0;1;0
28.02.2001;0,325893;34,37493437;56,33;12,93362904;-12,04822204;-2,56;-120,64;-0,17;2;0;1;1;1;0;1;1
1.03.2001;0,334821;38,23500346;58,36;27,35697245;-9,638739556;20;-73,06;-0,33;2;2;1;0;0;0;1;0
2.03.2001;0,34375;50,84740615;70,65;43,27383696;0,653552668;55,17;-23,24;-0,24;2;2;0;0;0;0;0;0
5.03.2001;0,363839;54,33046423;70,57;78,18105981;3,491835034;117,24;92,96;0,3;2;2;0;0;2;0;0;0
6.03.2001;0,383929;63,9707481;73,95;104,0032384;12,41837912;152,94;199,6;1,17;2;2;2;2;2;0;2;0
7.03.2001;0,379464;60,44773125;64,66;96,43039347;8,974366338;92,31;167,54;1,73;2;2;2;2;2;0;2;0
8.03.2001;0,371652;54,54551625;55,06;84,38669272;3,738356887;78,85;118,68;1,97;2;2;0;2;0;0;0;0
9.03.2001;0,361607;58,06435297;54,55;70,51907031;6,578815513;61,54;67,54;1,9;0;0;0;0;0;0;2;0
12.03.2001;0,332589;51,79844522;47,56;26,74628175;1,706375054;11,54;-78,95;1,18;0;0;0;0;1;0;0;0
13.03.2001;0,34933;53,79286906;48,21;52,33676065;3,642146362;40,38;5,44;0,98;0;0;0;0;0;0;0;0
14.03.2001;0,364955;58,22761839;51,21;73,8493948;8,637605749;67,31;76,97;1,16;0;0;0;0;0;0;2;0
15.03.2001;0,351563;54,11767186;46,35;53,63574933;4,651155868;44,23;9,25;0,99;0;0;0;0;0;0;0;0
16.03.2001;0,350446;50,624958;41,27;52,56701703;0,640985141;42,31;6,08;0,82;1;1;0;0;0;0;0;0
19.03.2001;0,367188;55,49144923;46,44;75,17913244;6,129220595;71,15;81,02;1,05;0;0;0;0;0;0;2;0
20.03.2001;0,351563;56,80475882;47,56;50,29384265;7,876818465;44,23;-1,08;0,87;0;0;0;0;0;0;2;0
21.03.2001;0,359375;56,54766349;47,3;60,92436683;7,33347072;52,17;32,87;0,89;0;0;0;0;0;0;2;0
22.03.2001;0,386161;60,32606314;51,3;96,32108214;12,33774545;104,35;160,08;1,5;0;0;2;2;2;0;2;0
23.03.2001;0,410714;61,17012911;51,57;114,5934226;12,8834457;145,83;250,76;2,48;0;0;2;2;2;0;2;0
26.03.2001;0,388929;51,18193251;42,44;83,65219414;1,302324128;72,12;115,62;2,74;1;1;0;2;0;0;0;0
27.03.2001;0,408393;56,38561344;48,35;98,34074253;7,623648093;97,03;175,67;3,32;0;0;0;2;2;0;2;0
28.03.2001;0,395893;55,24231742;48,26;82,14317247;6,522499543;81,03;107,29;3,46;0;0;0;2;2;0;2;0
29.03.2001;0,402321;58,94467195;52,59;85,79495323;11,25918469;89,26;116,84;3,66;0;0;0;2;2;0;2;0
30.03.2001;0,394107;64,87494197;57;74,11771849;18,49670314;78,74;73,94;3,6;2;2;2;0;0;0;2;0
2.04.2001;0,385536;59,11466463;49,99;62,99603095;10,36441187;58,98;37,42;3,33;0;0;0;0;0;0;2;0
3.04.2001;0,361429;49,14870398;40,51;36,63625599;-0,966146511;18,22;-42,38;2,58;1;1;0;0;1;0;0;0
