Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;72,5;;;;;;;;;;;;;;;
6.09.2000;68,0625;;;;;;;;;;;;;;;
7.09.2000;72;;;;;;;;;;;;;;;
8.09.2000;74,9375;;;;;;;;;;;;;;;
11.09.2000;72,25;;;;;;;;;;;;;;;
12.09.2000;72,75;;;;;;;;;;;;;;;
13.09.2000;71,9375;;;;;;;;;;;;;;;
14.09.2000;67,4375;;;;;;;;;;;;;;;
15.09.2000;67,625;;;;;;;;;;;;;;;
18.09.2000;65,1875;;;;;;;;;;;;;;;
19.09.2000;65,6875;;;;;;;;;;;;;;;
20.09.2000;69,125;;;;;;;;;;;;;;;
21.09.2000;68,4375;;;;;;;;;;;;;;;
22.09.2000;72,0625;;;;;;;;;;;;;;;
25.09.2000;69,6875;45,74669187;;;-3,879310345;46,15;;;;;0;;0;0;0;0
26.09.2000;71,5625;55,73770492;;;5,142332415;65,38;;;;;0;;0;0;2;0
27.09.2000;71,375;48,8317757;;;-0,868055556;63,46;;;;;0;;0;0;0;0
28.09.2000;70,25;40,60150376;;;-6,255212677;51,92;;;;;0;;0;0;1;0
29.09.2000;69,828125;44,65885596;;;-3,352076125;61,36;;;;;0;;0;0;1;0
2.10.2000;65,75;36,66666667;;11,53006948;-9,621993127;7,44;-130,81;;;;1;1;1;0;1;0
3.10.2000;66,75;40,1891253;;23,76900993;-7,211120765;22,73;-86,67;;;;0;0;0;0;1;0
4.10.2000;64,4375;43,81443299;;7,448029333;-4,448563485;-10,91;-145,91;;;;0;1;1;0;1;0
5.10.2000;66,625;48,0952381;;28,60231333;-1,478743068;28,69;-69,17;;;;0;0;0;0;0;0
6.10.2000;63,0625;46,11872146;;2,657331304;-3,259827421;-18,03;-159,14;;;;0;1;1;0;0;0
9.10.2000;63,1875;45,37037037;;9,150579124;-3,805899144;1,39;-136,17;;;;0;1;1;0;0;0
10.10.2000;60,6875;33,81294964;;-2,745350217;-12,20614828;-26,39;-186,89;-4,05;;;1;1;1;0;1;1
11.10.2000;65,6875;45,47325103;;38,09869535;-4,01826484;43,96;-39,92;-3,78;;;0;0;0;0;0;0
12.10.2000;61,875;33,33333333;;11,98389375;-14,13703382;10,44;-128,17;-3,98;;;1;1;1;0;1;1
13.10.2000;64,875;42,28456914;;36,02815629;-6,905829596;38,51;-45,22;-3,74;;;0;0;0;0;1;0
16.10.2000;63,8125;37,24279835;;28,82967257;-10,82969432;28,74;-68,15;-3,63;;;1;0;0;0;1;0
17.10.2000;63,875;37,60330579;;30,29041521;-10,50788091;29,82;-62,76;-3,5;;;1;0;0;0;1;0
18.10.2000;67,5625;45,9047619;;58,01830391;-3,825622776;71,9;22,52;-2,91;;;0;0;0;0;0;0
19.10.2000;67,8125;46,91239828;;60,15022899;-2,886551801;77,95;29,39;-2,38;;;0;0;0;0;0;0
20.10.2000;68,75;55,08474576;64,67;69,54987942;4,562737643;113,16;59,69;-1,83;2;2;0;0;2;0;2;0
23.10.2000;70,9375;56,82281059;64,22;85,57611748;6,27340824;127,13;115,3;-1,11;2;2;0;2;2;0;2;0
24.10.2000;71,375;62,03904555;64,72;89,2241176;10,76624636;104,27;128,45;-0,49;2;2;2;2;2;0;2;0
25.10.2000;68,625;53,40425532;52,55;69,84263641;3,001876173;74,27;60,65;-0,33;0;0;0;0;0;0;0;0
26.10.2000;68,5;60,48192771;56,99;70,13575744;8,622398414;73,1;61,84;-0,21;2;2;2;0;0;0;2;0
27.10.2000;59,3125;44,46428571;41,24;0,762145419;-6,132542038;-12,87;-176,36;-1,2;1;1;0;1;1;0;1;0
30.10.2000;54,125;41,29353234;39,42;-16,52765062;-10,81359423;-43,01;-268,07;-2,62;1;1;0;1;1;0;1;0
31.10.2000;57,9375;39,38356164;39,56;12,07833092;-11,79828735;22,1;-138,02;-3,26;1;1;1;1;0;0;1;0
1.11.2000;60,359375;47,84156653;48,64;27,69517657;-2,449494949;36,14;-75,95;-3,43;0;0;0;0;0;0;0;0
2.11.2000;61,4375;44,82109228;45,6;35,25851201;-5,298651252;42,39;-49,64;-3,39;0;0;0;0;0;0;1;0
3.11.2000;59,8125;44,07407407;45,1;27,59220659;-6,268364349;32,97;-74,39;-3,53;0;0;0;0;0;0;1;0
6.11.2000;59,875;44,07407407;45,46;29,25535986;-6,26223092;33,33;-67,37;-3,6;0;0;0;0;0;0;1;0
7.11.2000;61,8125;41,015625;44,38;39,26678548;-8,510638298;44,57;-35,22;-3,36;1;1;0;0;0;0;1;0
8.11.2000;61,625;40,31311155;44,72;39,36875399;-9,124423963;43,48;-34,93;-3,16;1;1;0;0;0;0;1;0
9.11.2000;62,75;40,6614786;47,23;45,1846274;-8,727272727;50;-16,81;-2,83;0;0;0;0;0;0;1;0
10.11.2000;64,5625;39,96062992;48,07;55,07803026;-8,986784141;60,51;13,68;-2,3;0;0;1;0;0;0;1;0
13.11.2000;62,625;36,84210526;47,04;44,91804124;-12,2591944;49,28;-17,48;-2,11;0;0;1;0;0;0;1;0
14.11.2000;64,125;42,96875;54,63;52,95950145;-6,557377049;68,97;7,01;-1,74;0;0;0;0;0;0;1;0
15.11.2000;67,375;48,39857651;59,09;70,61138066;-1,642335766;92,17;63,57;-1,03;2;2;0;0;2;0;0;0
16.11.2000;65,875;61,95899772;71,8;63,20333191;11,06427819;88,68;39,66;-0,64;2;2;2;0;2;0;2;0
17.11.2000;65,125;73,91304348;75,91;60,38276409;20,32332564;83,02;31,21;-0,43;2;2;2;0;2;2;2;2
20.11.2000;63,375;62,98507463;62,85;52,77144394;9,385113269;57,62;6,94;-0,48;2;2;2;0;0;0;2;0
21.11.2000;64,625;60,79051383;57,22;64,1477103;7,067046337;63,64;45,28;-0,36;2;2;2;0;0;0;2;0
22.11.2000;65,3125;60;52,96;71,34815573;6,307222787;72,73;70,19;-0,17;0;0;0;0;0;0;2;0
24.11.2000;66,0625;66,89189189;53,5;79,40531764;10,44932079;82,64;98,06;0,07;0;0;2;0;2;0;2;2
27.11.2000;67,1875;68,69009585;52,59;84,29618316;12,21294363;97,5;117,96;0,4;0;0;2;2;2;0;2;2
28.11.2000;66,34375;62,26734349;43,26;78,30748379;7,330637007;82,07;88,19;0,54;1;1;2;0;2;0;2;0
29.11.2000;68,125;66,19937695;47,56;92,31499504;10,54766734;113,04;135,81;0,87;0;0;2;2;2;0;2;2
