Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;55,4375;;;;;;;;;;;;;;;
6.09.2000;57,8125;;;;;;;;;;;;;;;
7.09.2000;58,5;;;;;;;;;;;;;;;
8.09.2000;58,125;;;;;;;;;;;;;;;
11.09.2000;58,625;;;;;;;;;;;;;;;
12.09.2000;59;;;;;;;;;;;;;;;
13.09.2000;59,4375;;;;;;;;;;;;;;;
14.09.2000;58,375;;;;;;;;;;;;;;;
15.09.2000;56,875;;;;;;;;;;;;;;;
18.09.2000;56,9375;;;;;;;;;;;;;;;
19.09.2000;56,75;;;;;;;;;;;;;;;
20.09.2000;59,0625;;;;;;;;;;;;;;;
21.09.2000;60;;;;;;;;;;;;;;;
22.09.2000;63,5;;;;;;;;;;;;;;;
25.09.2000;63,875;78,72340426;;;15,21984216;104,65;;;;;2;;2;2;2;2
26.09.2000;66,0625;78,44827586;;;14,27027027;130,7;;;;;2;;2;2;2;2
27.09.2000;64,5625;69,79591837;;;10,36324786;83,89;;;;;2;;2;0;2;2
28.09.2000;64,5;71,25;;;10,96774194;83,22;;;;;2;;2;2;2;2
29.09.2000;64,5;70,25862069;;;10,02132196;83,22;;;;;2;;2;2;2;2
2.10.2000;58,4375;48,60681115;;38,16159591;-0,953389831;18,12;-37,95105128;;;;0;0;1;0;0;0
3.10.2000;59,875;51,03244838;;47,57855388;0,736067298;33,56;-9,102017067;;;;0;0;0;0;0;0
4.10.2000;61,125;56,43274854;;56,76222385;4,710920771;46,98;18,36296886;;;;0;0;0;0;2;0
5.10.2000;61,0625;60,5015674;;55,1868463;7,362637363;46,31;13,6083601;;;;2;0;0;0;2;0
6.10.2000;61;60,18808777;;53,4635854;7,135016465;45,64;8,53016747;;;;2;0;0;0;2;0
9.10.2000;59,4375;56,30498534;;39,30880469;4,735682819;28,86;-35,11006737;;;;0;0;0;0;2;0
10.10.2000;59,5625;51,30718954;;40,11027415;0,846560847;14,75;-32,74905453;1,1;;;0;0;1;0;0;0
11.10.2000;60,1875;50,49833887;;45,30922939;0,3125;22,95;-16,54691625;0,94;;;0;0;0;0;0;0
12.10.2000;56,125;30,96774194;;11,95846746;-11,61417323;-30,33;-130,9732196;0,27;;;1;1;1;0;1;1
13.10.2000;58,75;38,15028902;;32,90943414;-8,023483366;26,42;-57,13707303;0,09;;;1;0;0;0;1;0
16.10.2000;60,1875;35,92814371;;43,7948528;-8,893093661;40,88;-21,83356301;0,14;;;1;0;0;0;1;0
