Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;38,103561;;;;;;;;;;;;;;;
6.09.2000;39,459999;;;;;;;;;;;;;;;
7.09.2000;40,939751;;;;;;;;;;;;;;;
8.09.2000;39,706627;;;;;;;;;;;;;;;
11.09.2000;39,398342;;;;;;;;;;;;;;;
12.09.2000;38,103561;;;;;;;;;;;;;;;
13.09.2000;39,459999;;;;;;;;;;;;;;;
14.09.2000;38,843437;;;;;;;;;;;;;;;
15.09.2000;38,65847;;;;;;;;;;;;;;;
18.09.2000;37,918594;;;;;;;;;;;;;;;
19.09.2000;37,79528;;;;;;;;;;;;;;;
20.09.2000;36,685471;;;;;;;;;;;;;;;
21.09.2000;36,623814;;;;;;;;;;;;;;;
22.09.2000;36,932095;;;;;;;;;;;;;;;
25.09.2000;37,055405;44,91018098;;;-2,750808514;10;;;;;0;;1;0;1;0
26.09.2000;37,178719;37,41497462;;;-5,781246979;12,86;;;;;1;;1;0;1;0
27.09.2000;37,055405;24,79998786;;;-9,487957071;10;;;;;1;;1;1;1;1
28.09.2000;38,288532;40,79999637;;;-3,57143154;54;;;;;0;;0;0;1;0
29.09.2000;37,733624;39,53489074;;;-4,225350397;39,13;;;;;1;;0;0;1;0
2.10.2000;38,966751;55,46876307;;66,22738463;2,265378819;82,61;50,23;;;;0;0;2;0;2;0
3.10.2000;38,78178;44,9541309;;61,44764451;-1,718750677;76,09;33,69;;;;0;0;0;0;1;0
4.10.2000;39,336689;53,70371372;;73,63501692;1,269846435;115,79;74,11;;;;0;0;2;0;0;0
5.10.2000;40,693127;62,99211211;;104,5436293;5,263159665;150;186,82;;;;2;2;2;0;2;0
6.10.2000;40,138218;64,51609781;;90,63544851;5,853655861;86,36;134,1;;;;2;2;2;0;2;0
9.10.2000;40,384842;66,66664092;;92,46494029;6,851548659;92,42;142,05;;;;2;2;2;0;2;2
10.10.2000;40,816437;79,13035274;;94,39715722;11,26049601;103,03;146,29;1,9;;;2;2;2;2;2;2
11.10.2000;39,76828;69,46559508;;74,35037782;8,585850725;75;74,8;1,83;;;2;0;0;0;2;2
12.10.2000;38,473499;58,50337464;;50,81200901;4,173616471;39,68;0,52;1,49;;;0;0;0;0;2;0
13.10.2000;39,213375;61,14648168;;63,87719125;5,823630858;57,38;40,53;1,36;;;2;0;0;0;2;0
16.10.2000;37,733624;52,51395666;;36,94220505;1,492533941;18,03;-41,62;0,95;;;0;0;1;0;0;0
17.10.2000;34,959095;42,34235959;;-3,250588613;-5,657231381;-55,74;-187,4;0,03;;;0;1;1;0;1;0
18.10.2000;35,020748;36,94581147;;2,948436576;-8,534628593;1,05;-166,78;-0,68;;;1;1;1;0;1;0
19.10.2000;34,465843;36,94582033;;1,18441105;-8,660130286;-8,42;-177,62;-1,35;;;1;1;1;0;1;0
20.10.2000;35,883938;37,86408096;37,5;21,6860844;-7,911393485;22,33;-96,62;-1,57;1;1;1;0;0;0;1;0
23.10.2000;35,698967;37,86408096;40,18;21,08842267;-7,949127142;19,42;-97,19;-1,77;1;1;1;0;1;0;1;0
24.10.2000;35,698967;35,02537072;41,5;22,85735217;-9,247656812;19,42;-89,08;-1,9;1;1;1;0;1;0;1;0
25.10.2000;34,342533;23,8578643;36,54;10,67808547;-15,60606045;-1,94;-130,87;-2,28;1;1;1;1;1;1;1;1
26.10.2000;34,650814;26,9430064;44,01;17,89890395;-13,67126961;4,76;-101,61;-2,49;1;1;1;1;1;1;1;1
27.10.2000;33,849281;23,7623791;44,55;13,64391854;-16,18320309;-7,62;-111,91;-2,81;1;1;1;1;1;1;1;1
30.10.2000;34,404186;24,50979184;48,65;22,41592116;-15,70997243;7,96;-82,05;-2,91;0;0;1;0;1;1;1;1
31.10.2000;35,329033;32,17822772;58,35;33,46993688;-11,1627835;25;-48,55;-2,75;2;0;1;0;0;0;1;1
1.11.2000;36,130562;40,20618479;67,17;42,94730522;-6,089742448;42,53;-21,81;-2,41;2;2;0;0;0;0;1;0
2.11.2000;36,808781;39,8963684;66,43;51,96041707;-6,132076109;55,17;3,85;-1,97;2;2;1;0;0;0;1;0
3.11.2000;37,548656;49,17127369;74,91;62,17489528;-0,490194104;95,24;35,51;-1,44;2;2;0;0;2;0;0;0
6.11.2000;36,808781;60,13513025;81,46;56,12202906;5,291000811;80;17,11;-1,17;2;2;2;0;0;0;2;0
7.11.2000;36,623814;58,66668699;74,35;57,45005424;4,577475044;75;21,54;-0,98;2;2;0;0;0;0;2;0
8.11.2000;36,377186;60,68964769;68,9;57,16504001;5,545615118;68,33;20,73;-0,88;2;2;2;0;0;0;2;0
9.11.2000;30,704813;30,37383103;38,59;-19,63829915;-14,43298949;-85;-302,07;-2,05;1;1;1;1;1;0;1;1
10.11.2000;31,259718;33,6363625;41,41;-4,699212612;-12,43523097;8,11;-226,04;-2,85;1;1;1;1;1;0;1;1
13.11.2000;30,026594;30,83333361;37,67;-8,689650594;-15,88945977;-9,91;-251,72;-3,74;1;1;1;1;1;0;1;1
14.11.2000;30,519844;36,28317898;44,69;4,9264699;-11,13106305;6,56;-174;-4,3;1;1;1;1;1;0;1;0
15.11.2000;31,383032;38,72340108;46,78;18,170822;-9,430606738;18,03;-112,6;-4,5;0;0;1;1;1;0;1;0
16.11.2000;30,458187;38,39662262;46,52;12,983161;-10,01821575;5,74;-126,24;-4,83;0;0;1;1;1;0;1;0
