Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;19,03125;;;;;;;;;;;;;;;
6.09.2000;19,34375;;;;;;;;;;;;;;;
7.09.2000;19,03125;;;;;;;;;;;;;;;
8.09.2000;18,90625;;;;;;;;;;;;;;;
11.09.2000;19,15625;;;;;;;;;;;;;;;
12.09.2000;19;;;;;;;;;;;;;;;
13.09.2000;19,34375;;;;;;;;;;;;;;;
14.09.2000;19,625;;;;;;;;;;;;;;;
15.09.2000;18,71875;;;;;;;;;;;;;;;
18.09.2000;18,03125;;;;;;;;;;;;;;;
19.09.2000;17,75;;;;;;;;;;;;;;;
20.09.2000;17,59375;;;;;;;;;;;;;;;
21.09.2000;17,40625;;;;;;;;;;;;;;;
22.09.2000;17,5625;;;;;;;;;;;;;;;
25.09.2000;17,75;35,25179856;;;-6,732348112;15,49;;;;;1;;1;0;1;0
26.09.2000;17,5;28,46715328;;;-9,531502423;4,23;;;;;1;;1;1;1;1
27.09.2000;16,75;25,82781457;;;-11,98686371;-29,58;;;;;1;;1;1;1;1
28.09.2000;17;30,32258065;;;-10,08264463;8,7;;;;;1;;1;0;1;1
29.09.2000;15,5;20;;;-19,08646003;-43,48;;;;;1;;1;1;1;1
2.10.2000;17,125;37,60330579;;27,80485217;-9,868421053;39,39;-71,14;;;;1;0;0;0;1;0
3.10.2000;17,53125;38,1147541;;38,83630614;-9,369951535;49,24;-36,55;;;;1;0;0;0;1;0
4.10.2000;17,5625;36,01694915;;41,31530217;-10,50955414;50;-29,63;;;;1;0;0;0;1;0
5.10.2000;17,5;40,66985646;;41,40373983;-6,510851419;62,14;-30,52;;;;0;0;0;0;1;0
6.10.2000;17,25;43,58974359;;36,87299635;-4,332755633;69,14;-48,14;;;;0;0;0;0;1;0
9.10.2000;17,28125;45,98930481;;39,53767925;-2,64084507;79,17;-41,36;;;;0;0;0;0;0;0
10.10.2000;16,6875;42,78606965;;25,76444781;-5,150976909;52,78;-102,05;-3,5;;;0;0;0;0;1;0
11.10.2000;16,625;43,65482234;;25,62070901;-4,488330341;50;-106,27;-3,55;;;0;0;0;0;1;0
12.10.2000;15,9375;37,85046729;;3,851006392;-9,252669039;19,44;-191,1;-3,88;;;1;1;1;0;1;0
13.10.2000;15,84375;35,5450237;;4,222204286;-10,73943662;15,28;-173,99;-4,15;;;1;1;1;0;1;0
16.10.2000;15,875;37,25490196;;10,29408145;-9,285714286;18,18;-140,39;-4,3;;;1;1;1;0;1;0
17.10.2000;15,25;38;;-1,860204481;-8,955223881;-12,12;-186,74;-4,68;;;1;1;1;0;1;0
18.10.2000;14,90625;33,49753695;;-2,211252072;-12,31617647;-14,86;-186,29;-5,1;;;1;1;1;0;1;1
19.10.2000;15,25;47,59036145;;12,74031512;-1,612903226;12,94;-124,67;-5,21;;;0;1;1;0;0;0
20.10.2000;15,34375;25,64102564;41,16;18,88486644;-10,40145985;16,47;-99,14;-5,21;1;1;1;1;1;1;1;1
23.10.2000;15,71875;25;40,84;31,08500363;-10,33868093;30,59;-57,35;-4,96;1;1;1;0;0;1;1;1
24.10.2000;15,9375;28,68852459;44,3;38,9454557;-9,252669039;38,82;-33,58;-4,6;1;1;1;0;0;1;1;1
25.10.2000;15,65625;27,13178295;43,04;32,5745365;-10,53571429;28,92;-52,31;-4,41;1;1;1;0;0;1;1;1
26.10.2000;15,90625;33,33333333;49,68;41,13921883;-7,789855072;42,11;-27,53;-4,08;0;0;1;0;0;0;1;1
27.10.2000;16,4375;40,68965517;56,54;55,25269989;-4,882459313;64,47;13,41;-3,51;2;2;0;0;0;0;1;0
30.10.2000;17,46875;57,86163522;70,51;84,35725981;4,68164794;143,86;106,18;-2,52;2;2;0;2;2;0;2;0
31.10.2000;17,53125;59,11949686;67,09;86,15785414;5,45112782;102,44;112,44;-1,69;2;2;0;2;2;0;2;0
1.11.2000;17,375;66,1971831;69,24;82,40692843;9,019607843;94,05;99,3;-1,1;2;2;2;2;2;0;2;2
2.11.2000;17,40625;67,85714286;64,81;83,71318782;9,861932939;95,24;103,67;-0,61;2;2;2;2;2;0;2;2
3.11.2000;17,40625;67,62589928;59,61;83,10870524;9,645669291;95,24;101,61;-0,22;2;2;2;2;2;0;2;2
6.11.2000;18,09375;82,26950355;66,38;98,37701697;18,64754098;121,43;158,95;0,41;2;2;2;2;2;2;2;2
7.11.2000;18,0625;88,54961832;62,02;92,31686746;21,17400419;99,02;134,34;0,88;2;2;2;2;2;2;2;2
8.11.2000;18,21875;88;55;91,09315554;19,46721311;104,4;127,03;1,3;2;2;2;2;2;2;2;2
9.11.2000;18,28125;87,90322581;50,23;87,68159245;19,14460285;102,17;112,38;1,64;0;0;2;2;2;2;2;2
10.11.2000;17,875;77,6;40,42;76,07588232;13,71769384;84,52;73,68;1,7;1;0;2;0;2;2;2;2
13.11.2000;18,09375;77,6;38,45;77,88255575;13,52941176;92,86;79;1,83;1;0;2;0;2;2;2;2
14.11.2000;18,03125;82,20338983;38,94;74,1911556;15,16966068;90,48;68,56;1,88;1;0;2;0;2;2;2;2
15.11.2000;18,34375;82,5;39,05;78,85108175;15,32416503;102,63;84,55;2,03;1;0;2;0;2;2;2;2
16.11.2000;18,15625;75,2293578;29,39;72,58432477;10,45627376;90,16;67,66;2,05;1;0;2;0;2;2;2;2
17.11.2000;18,46875;68,60465116;21,37;78,41686436;5,72450805;112,9;92,13;2,17;1;1;2;0;2;0;2;2
20.11.2000;18,59375;69,31818182;24,7;79,60412514;6,060606061;111,43;99,85;2,3;1;1;2;0;2;0;2;2
21.11.2000;19,125;78;36,41;91,08201999;10,07194245;143,59;146,73;2,61;1;0;2;2;2;2;2;2
22.11.2000;18,90625;72,64150943;37,09;84,27217071;8,617594255;87,27;121,15;2,71;1;0;2;2;2;2;2;2
24.11.2000;19,4375;76,42276423;47,67;101,1512425;11,66965889;118,18;195,08;3;0;0;2;2;2;2;2;2
27.11.2000;19,84375;74,56140351;47,46;110,0672815;9,671848014;126;244,23;3,35;0;0;2;2;2;2;2;2
28.11.2000;19,5;68,5483871;46,03;91,79510477;7,958477509;82,54;153,72;3,44;0;0;2;2;2;0;2;2
29.11.2000;20,0625;71,53284672;52,88;102,1624204;10,12006861;111,11;194,1;3,7;0;0;2;2;2;2;2;2
30.11.2000;19,65625;64,86486486;49,1;85,42859445;7,521367521;81,43;117,34;3,69;0;0;2;2;2;0;2;0
1.12.2000;20,34375;75,15923567;61,75;100,1682532;13,81118881;112,86;169,38;3,92;2;2;2;2;2;2;2;2
4.12.2000;21,65625;79,6875;68,34;119,548744;19,68911917;156,76;264,1;4,58;2;2;2;2;2;2;2;2
5.12.2000;21,6875;80,62827225;64,92;107,1887279;20,27729636;100,86;209,51;5,05;2;2;2;2;2;2;2;2
6.12.2000;20,78125;68,57142857;51,61;83,43224431;13,2879046;74,34;109,9;4,98;0;0;2;2;0;0;2;2
7.12.2000;20,78125;70,58823529;51,71;80,16464018;14,45783133;74,34;96,37;4,86;0;0;2;2;0;2;2;2
8.12.2000;20,8125;69,23076923;48,33;77,89809429;12,69035533;72,82;88,28;4,73;0;0;2;0;0;0;2;2
11.12.2000;21,1875;70,44334975;49,59;82,49755279;13,94957983;83,84;103,32;4,71;0;0;2;2;2;2;2;2
