Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;66;;;;;;;;;;;;;;;
6.09.2000;64,25;;;;;;;;;;;;;;;
7.09.2000;66,25;;;;;;;;;;;;;;;
8.09.2000;63,875;;;;;;;;;;;;;;;
11.09.2000;61,1875;;;;;;;;;;;;;;;
12.09.2000;58,875;;;;;;;;;;;;;;;
13.09.2000;61,3125;;;;;;;;;;;;;;;
14.09.2000;61,25;;;;;;;;;;;;;;;
15.09.2000;62,75;;;;;;;;;;;;;;;
18.09.2000;60,0625;;;;;;;;;;;;;;;
19.09.2000;62;;;;;;;;;;;;;;;
20.09.2000;63,125;;;;;;;;;;;;;;;
21.09.2000;61,125;;;;;;;;;;;;;;;
22.09.2000;60,3125;;;;;;;;;;;;;;;
25.09.2000;57,1875;33,56643357;;;-13,35227273;-22,88;;;;;1;;1;0;1;1
26.09.2000;55,1875;33,25635104;;;-14,10505837;-22,07;;;;;1;;1;0;1;1
27.09.2000;57,3125;33,56321839;;;-13,49056604;19,21;;;;;1;;1;0;1;1
28.09.2000;59,4375;41,76334107;;;-6,947162427;48,92;;;;;0;;0;0;1;0
29.09.2000;55,25;39,56043956;;;-9,703779367;0,79;;;;;1;;1;0;1;0
2.10.2000;55,5;43,60189573;;11,76928622;-5,732484076;3,94;-138,21;;;;0;1;1;0;1;0
3.10.2000;56,25;39,74683544;;20,08991528;-8,256880734;13,39;-102,96;;;;1;0;1;0;1;0
4.10.2000;58,5625;45,01160093;;40,1201488;-4,387755102;42,52;-33,36;;;;0;0;0;0;0;0
5.10.2000;57,5625;40,1891253;;33,44967808;-8,266932271;29,92;-53,16;;;;0;0;0;0;1;0
6.10.2000;56,1875;42,28855721;;22,94182163;-6,451612903;12,6;-86,09;;;;0;0;1;0;1;0
9.10.2000;53,6875;33,81995134;;5,724126946;-13,40725806;-18,9;-148,13;;;;1;1;1;0;1;1
10.10.2000;51,125;27,88018433;;-4,757999313;-19,00990099;-27,15;-190,96;-5,34;;;1;1;1;1;1;1
11.10.2000;51,1875;30,27295285;;3,628720688;-16,25766871;0,63;-161,57;-5,68;;;1;1;1;0;1;1
12.10.2000;49,8125;29,61165049;;2,199768945;-17,40932642;-14,29;-173,99;-6,1;;;1;1;1;1;1;1
13.10.2000;56,0625;48,05194805;;45,16455255;-1,967213115;64,94;-17,87;-5,47;;;0;0;0;0;0;0
