Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;128,8125;;;;;;;;;;;;;;;
6.09.2000;128,125;;;;;;;;;;;;;;;
7.09.2000;128,6875;;;;;;;;;;;;;;;
8.09.2000;124,25;;;;;;;;;;;;;;;
11.09.2000;132;;;;;;;;;;;;;;;
12.09.2000;131,3125;;;;;;;;;;;;;;;
13.09.2000;128,5;;;;;;;;;;;;;;;
14.09.2000;129;;;;;;;;;;;;;;;
15.09.2000;124,875;;;;;;;;;;;;;;;
18.09.2000;118,5625;;;;;;;;;;;;;;;
19.09.2000;119,9375;;;;;;;;;;;;;;;
20.09.2000;118;;;;;;;;;;;;;;;
21.09.2000;113,25;;;;;;;;;;;;;;;
22.09.2000;114,875;;;;;;;;;;;;;;;
25.09.2000;116,5;34,29027113;;;-9,558466764;17,33;;;;;1;;1;0;1;1
26.09.2000;110,875;30,45325779;;;-13,46341463;-12,67;;;;;1;;1;0;1;1
27.09.2000;107,0625;27,176781;;;-16,80427392;-18,05;;;;;1;;1;1;1;1
28.09.2000;113;38,49104859;;;-9,054325956;23,81;;;;;1;;0;0;1;0
29.09.2000;114,0625;28,74074074;;;-13,58901515;28,07;;;;;1;;0;1;1;1
2.10.2000;115,375;31,38686131;;32,5591651;-12,13707758;34,28;-53,14;;;;1;0;0;0;1;1
3.10.2000;113,875;32,37951807;;29,8316577;-11,38132296;31,05;-62,37;;;;1;0;0;0;1;1
4.10.2000;109,4375;28,47317744;;18,59969843;-15,16472868;10,83;-100,92;;;;1;1;1;1;1;1
5.10.2000;114,875;39,30481283;;38,31503544;-8,008008008;43,86;-38,59;;;;1;0;0;0;1;0
6.10.2000;108,875;39,56931359;;21,09578343;-8,170795994;14,08;-98,29;;;;1;0;1;0;1;0
9.10.2000;105,25;34,91655969;;11,91494365;-12,24596144;-14,08;-136,91;;;;1;1;1;0;1;1
10.10.2000;102,6875;34,47401774;;6,248804539;-12,97669492;-20,1;-167,82;-5,88;;;1;1;1;0;1;1
11.10.2000;104;39,91825613;;13,50964251;-8,167770419;9,5;-140,12;-5,99;;;1;1;1;0;1;0
12.10.2000;94,3125;30,93858633;;-13,75250828;-17,89989119;-60,63;-265,13;-6,71;;;1;1;1;0;1;1
13.10.2000;101,5;37,39495798;;15,03615022;-12,87553648;32,39;-123,05;-6,7;;;1;1;0;0;1;0
