Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;50,125;;;;;;;;;;;;;;;
6.09.2000;50,625;;;;;;;;;;;;;;;
7.09.2000;50,5;;;;;;;;;;;;;;;
8.09.2000;52,9375;;;;;;;;;;;;;;;
11.09.2000;54,25;;;;;;;;;;;;;;;
12.09.2000;55,875;;;;;;;;;;;;;;;
13.09.2000;54,75;;;;;;;;;;;;;;;
14.09.2000;55,5;;;;;;;;;;;;;;;
15.09.2000;54,25;;;;;;;;;;;;;;;
18.09.2000;55,0625;;;;;;;;;;;;;;;
19.09.2000;53;;;;;;;;;;;;;;;
20.09.2000;53;;;;;;;;;;;;;;;
21.09.2000;55;;;;;;;;;;;;;;;
22.09.2000;55,9375;;;;;;;;;;;;;;;
25.09.2000;54,625;63,84615385;;;8,97755611;77,42;;;;;2;;0;0;2;0
26.09.2000;53,375;58,08823529;;;5,432098765;52,87;;;;;0;;0;0;2;0
27.09.2000;54,75;61,64383562;;;8,415841584;78,16;;;;;2;;0;0;2;0
28.09.2000;55;56,42023346;;;3,896103896;68,75;;;;;0;;0;0;2;0
29.09.2000;52,9375;46,09665428;;;-2,419354839;-2,13;;;;;0;;1;0;0;0
2.10.2000;52,5625;39,35742972;;34,0962622;-5,928411633;-12,5;-53,1;;;;1;0;1;0;1;0
3.10.2000;53,8125;47,01195219;;49,39922108;-1,712328767;37,04;-3,9;;;;0;0;0;0;0;0
4.10.2000;55,5625;50,18726592;;77,14461521;0,112612613;88,89;87,4;;;;0;0;2;0;0;0
5.10.2000;53,75;48,55072464;;37,70791274;-0,921658986;35,19;-39,33;;;;0;0;0;0;0;0
6.10.2000;51,0625;39,54248366;;-12,41612303;-7,264472191;-44,44;-237,41;;;;1;1;1;0;1;0
9.10.2000;50,875;43,84057971;;-4,001848368;-4,009433962;-3,85;-198,01;;;;0;1;1;0;1;0
10.10.2000;50,6875;43,36917563;;1,03569137;-4,363207547;-3,7;-176,76;-1,28;;;0;1;1;0;1;0
11.10.2000;48,9375;32,36363636;;-10,23704336;-11,02272727;-33,33;-234,32;-1,77;;;1;1;1;0;1;1
12.10.2000;34,875;15,25773196;;-47,73454911;-37,65363128;-200,89;-797,07;-4,35;;;1;1;1;1;1;1
13.10.2000;36,3125;19,91786448;;-16,38223591;-33,52402746;6,95;-380,76;-6,2;;;1;1;1;1;1;1
16.10.2000;37,6875;24,33537832;;-0,243486876;-29,3911007;13,6;-232,05;-7,42;;;1;1;1;1;1;1
17.10.2000;35,125;19,09448819;;-0,152154555;-35,84474886;1,21;-209;-8,81;;;1;1;1;1;1;1
18.10.2000;36,5;21,86311787;;10,38743384;-33,63636364;7,85;-143,09;-9,61;;;1;1;1;1;1;1
19.10.2000;38,625;28,27324478;;20,61697689;-27,03659976;18,13;-96,13;-9,79;;;1;0;1;1;1;1
20.10.2000;39,4375;30,33707865;57,72;25,79532338;-24,97027348;22,05;-74,21;-9,68;2;0;1;0;0;0;1;1
23.10.2000;40,5625;30,07518797;57,8;31,41687096;-24,62253194;27,49;-54,8;-9,29;2;0;1;0;0;0;1;1
24.10.2000;39,25;25,14285714;54,61;29,4826465;-29,35883015;21,15;-59,45;-9,14;0;0;1;0;0;1;1;1
25.10.2000;38,375;25,88235294;56,27;28,99212341;-28,60465116;18,54;-60,23;-9,09;2;0;1;0;1;1;1;1
26.10.2000;38,9375;29,62184874;60,63;32,82756035;-23,74541004;25,1;-49,16;-8,85;2;0;1;0;0;1;1;1
27.10.2000;39,375;30,83333333;60,71;36,13920939;-22,6044226;28,13;-40,36;-8,49;2;0;1;0;0;0;1;1
30.10.2000;40,9375;34,46215139;61,79;43,1794291;-19,23551171;38,34;-21,19;-7,81;2;0;1;0;0;0;1;1
31.10.2000;43;40,63116371;64,68;52,56901928;-12,13282248;57,78;5,72;-6,78;2;2;0;0;0;0;1;0
1.11.2000;44,0625;74,5819398;93,45;59,81606733;26,34408602;113,08;28,6;-5,7;2;2;2;0;2;2;2;2
2.11.2000;42,75;67,34006734;80,63;57,32839428;17,72805508;85,31;21,42;-5,04;2;2;2;0;2;0;2;2
3.11.2000;41,25;59,53177258;67,49;52,64165852;9,452736318;68,53;6,68;-4,74;2;2;0;0;0;0;2;0
6.11.2000;41,3125;69,11196911;64,11;56,30123495;17,61565836;69,23;19,68;-4,45;2;2;2;0;0;0;2;2
7.11.2000;41,375;66,38655462;53,52;61,68219391;13,35616438;64,46;38,11;-4,16;0;0;2;0;0;0;2;2
8.11.2000;41,25;60,19417476;39,87;67,41601867;6,796116505;50,55;55,03;-3,9;1;1;2;0;0;0;2;0
9.11.2000;38,8125;47,84482759;29,67;40,4807022;-1,584786054;7,69;-32,27;-4,13;1;1;0;0;1;0;0;0
10.11.2000;36,25;36,47058824;19,99;12,72955319;-10,63174114;-37,36;-129,01;-4,77;1;1;1;1;1;0;1;0
13.11.2000;37,375;44,04761905;28,56;25,27513968;-4,777070064;14,4;-83,57;-5,01;1;1;0;0;1;0;1;0
14.11.2000;39,1875;52,43445693;37,56;41,63674277;2,117263844;37,6;-28,09;-4,79;1;1;0;0;0;0;0;0
