Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;37,896439;;;;;;;;;;;;;;;
6.09.2000;38,968979;;;;;;;;;;;;;;;
7.09.2000;36,466385;;;;;;;;;;;;;;;
8.09.2000;33,367935;;;;;;;;;;;;;;;
11.09.2000;34,857574;;;;;;;;;;;;;;;
12.09.2000;35,274673;;;;;;;;;;;;;;;
13.09.2000;35,751358;;;;;;;;;;;;;;;
14.09.2000;35,810944;;;;;;;;;;;;;;;
15.09.2000;34,797989;;;;;;;;;;;;;;;
18.09.2000;34,082962;;;;;;;;;;;;;;;
19.09.2000;34,321304;;;;;;;;;;;;;;;
20.09.2000;33,367935;;;;;;;;;;;;;;;
21.09.2000;33,84462;;;;;;;;;;;;;;;
22.09.2000;34,619232;;;;;;;;;;;;;;;
25.09.2000;33,904205;35,74467903;;;-10,53458875;9,57;;;;;1;;1;0;1;0
26.09.2000;34,261719;32,28699815;;;-12,0795056;15,96;;;;;1;;1;0;1;1
27.09.2000;33,248764;36,3636379;;;-8,823526105;-3,85;;;;;1;;1;0;1;0
28.09.2000;34,738403;56,72514465;;;4,107140583;58,14;;;;;0;;0;0;2;0
29.09.2000;33,963791;45,28302245;;;-2,564099842;27,91;;;;;0;;0;0;0;0
2.10.2000;34,321304;44,93671;;40,89329044;-2,70270117;41,86;-34,09;;;;0;0;0;0;1;0
3.10.2000;35,45343;48,52070941;;63,76029603;-0,83333338;86,05;49,19;;;;0;0;2;0;0;0
4.10.2000;36,108871;51,39664406;;90,62800455;0,831944;111,63;137,55;;;;0;2;2;0;0;0
5.10.2000;34,91716;50,54944994;;61,73649691;0,342465192;58,33;35,01;;;;0;0;0;0;0;0
6.10.2000;34,797989;53,48837323;;56,27748053;2,097901585;54,17;17,96;;;;0;0;0;0;0;0
9.10.2000;35,215088;54,28571675;;68,85728536;2,604166788;68,75;59;;;;0;0;0;0;0;0
10.10.2000;34,738403;56,88622712;;54,67351386;4,107140583;52,08;12,9;-0,24;;;0;0;0;0;2;0
11.10.2000;34,38089;52,72727236;;45,03174342;1,584505898;39,58;-18,32;-0,34;;;0;0;0;0;0;0
12.10.2000;33,367935;43,7869819;;13,60468055;-3,614456265;4,17;-131,39;-0,64;;;0;1;1;0;1;0
13.10.2000;33,010418;45,39875671;;7,722224048;-2,636212824;-8,33;-156,13;-0,96;;;0;1;1;0;0;0
16.10.2000;34,142548;49,43181921;;44,35080202;-0,347825513;36,54;-20,96;-0,94;;;0;0;0;0;0;0
17.10.2000;33,606277;51,7857109;;28,57201227;1,075267038;19,23;-74,06;-1,03;;;0;0;1;0;0;0
18.10.2000;32,116634;36,90475703;;-8,122414861;-7,547177687;-28,85;-230,69;-1,44;;;1;1;1;0;1;0
19.10.2000;34,202133;51,05262888;;49,14801377;0,701753229;52,24;-5,06;-1,26;;;0;0;0;0;0;0
20.10.2000;43,855;73,12137562;71,21;149,7893892;27,77777907;294,03;881,24;1,11;2;2;2;2;2;2;2;2
23.10.2000;47,608891;76,15383301;72,37;134,2549945;34,28571227;131,98;655,94;3,7;2;2;2;2;2;2;2;2
24.10.2000;50,826511;78,52192579;73,12;123,9802225;40,75906998;120,77;436,35;6,22;2;2;2;2;2;2;2;2
25.10.2000;49,813557;79,06975365;66,54;106,0973043;42,6621094;94,59;243,85;7,8;2;2;2;2;2;2;2;2
26.10.2000;49,753971;79,25406351;60,13;97,5769915;42,97944344;94,27;174,38;8,86;2;2;2;2;2;2;2;2
27.10.2000;49,09853;76,90529884;53,8;89,60407152;39,42469773;90,76;128,78;9,4;0;0;2;2;2;2;2;2
30.10.2000;51,24361;80,0433704;55,47;91,55843837;47,51285487;102,23;128,71;10,07;2;2;2;2;2;2;2;2
31.10.2000;51,303196;81,14033545;52,56;87,05417294;49,22009291;100,31;108,38;10,44;0;0;2;2;2;2;2;2
1.11.2000;51,005268;83,33331632;50,61;82,41028241;52,85713066;98,45;90,8;10,52;0;0;2;2;2;2;2;2
2.11.2000;49,694386;80,43478039;46,7;75,637344;50,54152298;91,61;69,36;10,22;0;0;2;0;2;2;2;2
3.11.2000;49,217701;78,17371375;42,52;71,90791893;44,15356757;89,13;58,51;9,77;1;0;2;0;2;2;2;2
6.11.2000;50,409412;80,65216961;43,97;73,25130122;49,99998959;95,34;63,03;9,5;1;0;2;0;2;2;2;2
7.11.2000;51,720295;85,99562926;46,66;74,81377144;61,03896504;102,17;69,22;9,39;0;0;2;0;2;2;2;2
8.11.2000;51,005268;82,48848295;40,63;70,4293853;49,12890959;95,92;57,85;9,06;1;0;2;0;2;2;2;2
9.11.2000;51,184025;72,36363705;16,95;68,99815842;16,71194847;93,18;55,79;8,73;1;0;2;0;2;2;2;2
10.11.2000;50,886097;62,67281038;10,34;66,11583397;6,883600796;79,71;49,74;8,31;1;1;2;0;0;0;2;0
13.11.2000;48,264332;39,61352865;7,23;54,3482825;-5,041028687;-31,82;12,89;7,46;1;1;1;0;1;0;1;0
14.11.2000;49,456043;48,57142629;19,73;56,81419181;-0,717704219;34,48;24,3;6,9;1;1;0;0;0;0;0;0
15.11.2000;49,217701;47,88732439;27,77;52,12953323;-1,077843616;27,59;6,61;6,35;1;1;0;0;0;0;0;0
16.11.2000;49,09853;50;37,96;41,57365719;0;24,14;-34,26;5,82;1;1;0;0;0;0;0;0
17.11.2000;48,621845;37,50000119;38,36;20,97420589;-5,116276937;10,34;-92,9;5,27;1;1;1;0;1;0;1;0
20.11.2000;46,953449;32,01970325;40,59;-10,84437696;-8,478510773;-37,93;-216,78;4,5;1;1;1;1;1;0;1;1
21.11.2000;47,549305;36,05769304;49,97;7,946482569;-6,775698149;12,5;-146,49;3,95;0;0;1;1;1;0;1;0
22.11.2000;46,00008;35,37735722;55,77;-7,294318838;-7,434051001;-20;-214,65;3,21;2;2;1;1;1;0;1;0
24.11.2000;46,357594;38,5714312;64,39;5,727775709;-5,8111349;6,25;-157,72;2,66;2;2;1;1;1;0;1;0
27.11.2000;46,357594;32,1052692;64,88;10,76111094;-8,037820398;6,25;-135,99;2,19;2;0;1;1;1;0;1;1
28.11.2000;46,834278;26,70454573;65,34;20,54275468;-9,447001414;14,58;-99,21;1,89;2;0;1;0;1;1;1;1
29.11.2000;46,059666;26,55367403;68,58;14,29746834;-9,696257257;1,15;-118,88;1,49;2;0;1;1;1;1;1;1
30.11.2000;46,476765;28,17679538;69,76;22,73956714;-9,196736677;9,2;-87,68;1,24;2;0;1;0;1;1;1;1
1.12.2000;47,608891;35,89743722;72,32;39,18667562;-6,440277784;32,93;-34,43;1,21;2;2;1;0;0;0;1;0
4.12.2000;48,264332;50;83,1;48,59701349;0;65,52;-6,1;1,29;2;2;0;0;0;0;0;0
5.12.2000;50,468998;54,74860482;82,35;78,16747922;2,048192574;129,31;88,32;1,71;2;2;0;0;2;0;0;0
6.12.2000;50,468998;56;75,66;80,54678175;2,5423719;100;95,47;2,01;2;2;0;2;2;0;2;0
7.12.2000;50,17107;55,05617829;66,82;77,77146001;2,184464586;93,33;85,44;2,17;2;2;0;0;2;0;2;0
8.12.2000;51,958637;64,00000034;68,23;101,1591932;6,862742457;133,33;171,95;2,56;2;2;2;2;2;0;2;0
11.12.2000;52,614082;75,95629302;71,12;104,3328266;12,05584067;111;191,75;2,93;2;2;2;2;2;2;2;2
12.12.2000;49,694386;58,10810596;52,7;65,70902608;4,511277294;55,86;46,73;2,72;0;0;0;0;0;0;2;0
13.12.2000;49,694386;65,81632085;54,87;65,50736364;8,031086033;55,86;45,9;2,52;0;0;2;0;0;0;2;2
14.12.2000;48,204746;57,20929608;45,71;47,22688031;3,984572625;32,73;-10,35;2,1;0;0;0;0;0;0;2;0
15.12.2000;45,642567;47,67441898;37,21;18,28067921;-1,542416114;-6,36;-104,07;1,32;1;1;0;1;1;0;0;0
18.12.2000;47,430134;51,7857145;41,77;40,80815315;1,272264729;25,64;-30,03;0,99;1;1;0;0;0;0;0;0
19.12.2000;46,595936;51,60142245;41,87;31,02597374;1,164294157;13,68;-60,91;0,58;1;1;0;0;1;0;0;0
20.12.2000;43,855;43,12500259;35,33;4,865851356;-5,641022993;-25,64;-153,39;-0,2;1;1;0;1;1;0;1;0
21.12.2000;44,152927;40,52287614;35,43;11,17372536;-7,25907268;3,4;-131,74;-0,77;1;1;0;1;1;0;1;0
22.12.2000;45,523396;42,76729875;40,09;26,22602829;-5,679009501;19,05;-78,21;-0,98;1;1;0;0;1;0;1;0
26.12.2000;45,761738;36,14035631;37,32;29,17725689;-9,327032805;21,77;-68;-1,1;1;1;1;0;0;0;1;0
27.12.2000;45,344639;35,27397821;39,4;26,22860599;-10,15347878;17,01;-77,04;-1,24;1;1;1;0;1;0;1;0
28.12.2000;45,702152;37,20136886;44,61;30,07525844;-8,907360357;21,09;-64,19;-1,29;1;1;1;0;0;0;1;0
29.12.2000;45,106297;28,93773761;41,98;25,39769514;-13,18806727;14,29;-79,05;-1,41;1;1;1;0;1;1;1;1
2.01.2001;42,1866;21,86494091;38,54;4,636640222;-19,8188044;-19,05;-150,8;-2;1;1;1;1;1;1;1;1
3.01.2001;45,880909;40,12345868;57,54;38,07682344;-7,673858774;49,21;-37,87;-1,79;2;2;0;0;0;0;1;0
