Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2 ;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;28,15625;;;;;;;;;;;;;;;
6.09.2000;27,15625;;;;;;;;;;;;;;;
7.09.2000;27;;;;;;;;;;;;;;;
8.09.2000;27,28125;;;;;;;;;;;;;;;
11.09.2000;26,5;;;;;;;;;;;;;;;
12.09.2000;26,75;;;;;;;;;;;;;;;
13.09.2000;26,25;;;;;;;;;;;;;;;
14.09.2000;25,5;;;;;;;;;;;;;;;
15.09.2000;25,40625;;;;;;;;;;;;;;;
18.09.2000;26,5625;;;;;;;;;;;;;;;
19.09.2000;26,4375;;;;;;;;;;;;;;;
20.09.2000;25,125;;;;;;;;;;;;;;;
21.09.2000;24,78125;;;;;;;;;;;;;;;
22.09.2000;26,4375;;;;;;;;;;;;;;;
25.09.2000;26,78125;42,14285714;;;-4,883462819;59,26;;;;;0;;0;0;1;0
26.09.2000;27,46875;51,85185185;;;1,150747986;107,5;;;;;0;;2;0;0;0
27.09.2000;27,8125;54,71014493;;;3,009259259;112,79;;;;;0;;2;0;0;0
28.09.2000;27,71875;52,59259259;;;1,603665521;96,91;;;;;0;;2;0;0;0
29.09.2000;27,5625;56,8;;;4,009433962;91,75;;;;;0;;2;0;2;0
2.10.2000;28,5;60,29411765;;94,46074796;6,542056075;122,68;157,26;;;;2;2;2;0;2;0
3.10.2000;28,15625;61,42322097;;85,80696364;7,261904762;90,76;123,34;;;;2;2;2;0;2;0
4.10.2000;28,625;69,37984496;;92,40109518;12,25490196;103,36;148,44;;;;2;2;2;0;2;2
5.10.2000;29,5625;73,33333333;;103,4790063;16,35916359;124,39;193,09;;;;2;2;2;2;2;2
6.10.2000;29,21875;66,40926641;;91,3418616;10;92,81;138,89;;;;2;2;2;0;2;2
9.10.2000;28,90625;64,90566038;;81,93214884;9,338061466;86,27;100,96;;;;2;2;2;0;2;0
10.10.2000;29,09375;77,72925764;;81,88298668;15,7960199;90,2;98,83;3,95;;;2;2;2;2;2;2
11.10.2000;29,28125;82,14285714;;81,60317289;18,15889029;94,12;98,69;3,92;;;2;2;2;2;2;2
12.10.2000;28,625;68,22916667;;68,50350234;8,274231678;70;56,8;3,66;;;2;0;0;0;2;2
13.10.2000;28,59375;65,93406593;;66,03611689;6,767794632;65,17;49,7;3,4;;;2;0;0;0;2;2
16.10.2000;29,3125;66,12021858;;76,58842705;6,712172924;88,06;86,8;3,36;;;2;0;2;0;2;2
17.10.2000;28,96875;60,10928962;;68,2735377;4,157303371;70,31;58,92;3,2;;;2;0;0;0;2;0
18.10.2000;29,09375;61,95652174;;69,19246101;4,96054115;76,56;63,13;3,07;;;2;0;0;0;2;0
19.10.2000;28,5625;58,16326531;;54,98054022;3,628117914;50;13,61;2,78;;;0;0;0;0;2;0
20.10.2000;27,40625;41,37931034;22,23;15,98519365;-3,837719298;-53,33;-118,89;2,2;1;1;0;1;1;0;1;0
23.10.2000;27,65625;46;33,2;19,5433222;-1,775804661;11,59;-102,89;1,79;1;1;0;1;1;0;0;0
24.10.2000;28,0625;45,45454545;38,84;32,39759689;-1,965065502;30,43;-58,64;1,56;1;1;0;0;0;0;0;0
25.10.2000;28,96875;45,17766497;43,38;65,45990998;-2,00845666;72,46;47,81;1,62;1;1;0;0;0;0;0;0
26.10.2000;29,34375;51,01010101;52,1;77,65463439;0,427807487;101,64;91,12;1,76;0;0;0;0;2;0;0;0
27.10.2000;29,46875;54,6875;58,51;80,47497623;1,945945946;106,45;100,2;1,87;2;2;0;2;2;0;0;0
30.10.2000;29,9375;56,71641791;61,83;93,75476788;2,900107411;122,73;151,17;2,07;2;2;0;2;2;0;2;0
31.10.2000;30,1875;57,14285714;63,13;96,4105256;3,094983991;109,88;170,62;2,27;2;2;0;2;2;0;2;0
1.11.2000;30,4375;65,26315789;71,73;97,41750824;6,331877729;108,99;180,94;2,46;2;2;2;2;2;0;2;2
2.11.2000;30,375;64,92146597;66,84;91,3113977;6,229508197;97,94;155,08;2,57;2;2;2;2;2;0;2;0
3.11.2000;29,65625;52,87958115;53,69;67,92874156;1,172707889;74,23;60,49;2,42;0;0;0;0;0;0;0;0
6.11.2000;30,25;60,30150754;60,7;82,72319536;4,422869471;93,81;113,91;2,44;2;2;2;2;2;0;2;0
7.11.2000;30,03125;57,42574257;55,35;74,28746657;3,222341568;86,6;79,05;2,37;2;2;0;0;2;0;2;0
8.11.2000;30,09375;63,10160428;56,72;74,32649396;5,361050328;88,66;76,99;2,3;2;2;2;0;2;0;2;0
9.11.2000;31,15625;82,60869565;70,3;96,49697295;13,68301026;123,71;161,71;2,51;2;2;2;2;2;2;2;2
10.11.2000;30,9375;78,68852459;61,81;86,3605696;11,86440678;93,75;123,44;2,58;2;2;2;2;2;2;2;2
13.11.2000;30,53125;71,58469945;51,23;74,22302083;8,797327394;79,8;77,06;2,49;0;0;2;0;0;2;2;2
14.11.2000;30,28125;62,96296296;39,02;66,55313767;4,530744337;60;51,34;2,33;1;1;2;0;0;0;2;0
15.11.2000;30,65625;62,96296296;37,93;73,35694657;4,47284345;72,41;74,96;2,28;1;1;2;0;0;0;2;0
16.11.2000;30,96875;64,28571429;39,2;77,90576473;5,090137858;88,89;93,77;2,29;1;1;2;0;2;0;2;0
17.11.2000;30,71875;57,76397516;34,3;70,83354052;2,60960334;70,83;70,99;2,21;1;1;0;0;0;0;2;0
20.11.2000;28,28125;36,7965368;23,94;-1,49887399;-6,314699793;-91,67;-207,21;1,48;1;1;1;1;1;0;1;0
21.11.2000;27,625;31,55737705;23,83;-16,0341719;-9,240246407;-22,83;-289,85;0,71;1;1;1;1;1;0;1;1
22.11.2000;29,78125;46,94533762;45,12;43,22170067;-1,95473251;61,06;-26,88;0,67;0;0;0;0;0;0;0;0
24.11.2000;29,5;49,15824916;49,27;34,69323233;-0,52687039;53,1;-60,15;0,56;0;0;0;0;0;0;0;0
27.11.2000;29,78125;47,38675958;49,2;42,40598448;-1,549586777;61,06;-30,87;0,54;0;0;0;0;0;0;0;0
28.11.2000;30,21875;51,02040816;54,2;54,94274352;0,624349636;73,45;15,86;0,64;0;0;0;0;0;0;0;0
29.11.2000;31,0625;54,85893417;58,4;77,73593782;3,219106957;97,35;102,94;0,94;2;2;0;0;2;0;0;0
30.11.2000;31,3125;50,85324232;54,2;82,3012225;0,501504514;104,42;120,5;1,22;0;0;0;2;2;0;0;0
1.12.2000;31,09375;50,85324232;54,32;74,70999804;0,505050505;94,07;88,1;1,37;0;0;0;0;2;0;0;0
4.12.2000;31,375;54,67128028;59,41;79,16308342;2,763561924;101,69;106,58;1,54;2;2;0;0;2;0;0;0
5.12.2000;30,71875;52,31788079;56,24;61,36010132;1,444788442;82,5;37,5;1,49;2;2;0;0;2;0;0;0
6.12.2000;30,4375;48,82943144;52,86;53,52922444;-0,713557594;75;10,03;1,35;0;0;0;0;0;0;0;0
7.12.2000;31,1875;51,11821086;55,32;71,27374899;0,706357215;95;73,97;1,43;2;2;0;0;2;0;0;0
8.12.2000;30,4375;48,63221884;51,14;53,04083522;-0,915564598;75;8,44;1,27;0;0;0;0;0;0;0;0
11.12.2000;29,15625;54,79452055;56,05;22,70163741;3,093922652;40,83;-103,51;0,8;2;2;0;0;0;0;0;0
12.12.2000;29;57,97101449;56,44;21,71976067;4,977375566;36,67;-101,67;0,38;2;2;0;0;0;0;2;0
13.12.2000;28,90625;43,33333333;40,36;22,15362127;-2,938090241;-3,95;-94,25;0,02;1;1;0;0;1;0;1;0
14.12.2000;28,5;42,52336449;40,03;16,67027876;-3,389830508;-16,46;-110,35;-0,37;1;1;0;1;1;0;1;0
15.12.2000;26,75;31,41762452;29,25;-8,156708002;-10,17838405;-60,87;-213,15;-1,15;1;1;1;1;1;0;1;1
18.12.2000;27,4375;33,45724907;35,11;10,76210289;-9,203722854;14,86;-135,64;-1,57;1;1;1;1;1;0;1;1
19.12.2000;28,375;34,19117647;40,41;27,66696234;-8,651911469;35,14;-74,33;-1,62;1;1;1;0;0;0;1;1
20.12.2000;28,125;31,25;42,09;21,93961371;-10,17964072;29,73;-94,41;-1,72;1;1;1;0;0;0;1;1
21.12.2000;29,6875;42,85714286;53,46;51,28493111;-4,522613065;63,51;1,96;-1,34;0;0;0;0;0;0;1;0
22.12.2000;29,4375;40,12738854;51,79;46,66258481;-6,175298805;58,11;-12,19;-1,1;0;0;0;0;0;0;1;0
26.12.2000;30;46,3022508;58,44;56,9798766;-2,339776195;73,24;19,35;-0,75;2;2;0;0;0;0;0;0
27.12.2000;30,28125;49,19614148;60,74;62,16726422;-0,513347023;79,58;35,55;-0,39;2;2;0;0;0;0;0;0
28.12.2000;30,53125;46,44067797;57,55;67,63093587;-2,104208417;85,21;53,27;-0,03;2;2;0;0;2;0;0;0
29.12.2000;30,46875;50,18315018;60,79;67,80111315;0,102669405;98,35;53,93;0,23;2;2;0;0;2;0;0;0
2.01.2001;30,40625;58,54700855;67,1;67,6894742;4,287245445;96,69;53,75;0,41;2;2;0;0;2;0;2;0
3.01.2001;29,625;53,93700787;58,94;53,89013781;2,155172414;76,03;10,1;0,34;2;2;0;0;0;0;0;0
4.01.2001;28,78125;49,28057554;52,78;37,56517865;-0,432432432;53,72;-41,83;0,06;0;0;0;0;0;0;0;0
5.01.2001;28,84375;52,05992509;54,05;40,49170603;1,206140351;55,37;-32,41;-0,15;0;0;0;0;0;0;0;0
8.01.2001;29,3125;68,14159292;64,22;53,30535605;9,579439252;67,77;8,55;-0,19;2;2;2;0;0;0;2;2
9.01.2001;29,6875;66,66666667;59,76;63,78181988;8,200455581;72,73;43,92;-0,11;2;2;2;0;0;0;2;2
10.01.2001;29,5625;60;48,8;60,08629046;4,185022026;59,74;30,67;-0,09;0;0;0;0;0;0;2;0
11.01.2001;28,6875;54,28571429;41,13;38,595778;2;23,38;-38,97;-0,3;1;1;0;0;0;0;0;0
12.01.2001;28,3125;37,20930233;21,57;30,31482509;-4,631578947;-20,34;-65,78;-0,57;1;1;1;0;1;0;1;0
16.01.2001;28,5;41,17647059;27,94;34,91700757;-3,184713376;8,45;-50,2;-0,72;1;1;0;0;1;0;1;0
17.01.2001;28,96875;40,11976048;31,3;42,38336607;-3,4375;29,58;-25,34;-0,71;1;1;0;0;0;0;1;0
18.01.2001;28,5625;33,91812865;29,35;26,28716137;-5,675954592;11,27;-75,92;-0,8;1;1;1;0;1;0;1;1
19.01.2001;27,90625;27,17391304;28,06;7,606016736;-8,597748209;-18,31;-142,65;-1,04;1;1;1;1;1;1;1;1
22.01.2001;27,84375;27,17391304;34,05;7,336236267;-8,615384615;-2,44;-144,94;-1,24;1;1;1;1;1;1;1;1
23.01.2001;28,4375;34,32835821;43,89;27,63832722;-6,474820144;23,17;-71,44;-1,22;1;1;1;0;0;0;1;1
24.01.2001;29,03125;45,12820513;57,51;45,97014457;-2,004219409;64,41;-13,91;-1,02;2;2;0;0;0;0;0;0
25.01.2001;29,3125;54,80225989;68,76;55,52678544;1,845819761;79,66;15,03;-0,78;2;2;0;0;0;0;0;0
26.01.2001;28,96875;51,07526882;62,98;46,79922548;0,433369447;61,02;-12,22;-0,67;2;2;0;0;0;0;0;0
29.01.2001;28,559999;43,45935794;55,92;35,39132629;-2,567167591;38,85;-51,12;-0,7;2;2;0;0;0;0;1;0
30.01.2001;28,955;43,65526422;56,64;52,3426293;-2,467368421;60,27;5,66;-0,6;2;2;0;0;0;0;1;0
31.01.2001;29;45,05929027;57,43;58,3829028;-1,902748414;67,27;25,37;-0,5;2;2;0;0;0;0;0;0
1.02.2001;28,719999;50,31877372;62,27;46,54237578;0,113286275;59,66;-13,57;-0,5;2;2;0;0;0;0;0;0
2.02.2001;28,870001;55,72088689;65,64;54,22033105;1,969098455;69,87;11,76;-0,45;2;2;0;0;0;0;2;0
5.02.2001;29,6;60,15696387;66,99;88,20522744;3,859649123;119,57;131,19;-0,2;2;2;2;2;2;0;2;0
6.02.2001;29,709999;57,33002284;60,26;90,60545107;2,55878835;106,26;141,49;0,02;2;2;0;2;2;0;2;0
7.02.2001;30;64,54958336;61,49;100,8003432;5,032822757;115,54;186,63;0,28;2;2;2;2;2;0;2;0
8.02.2001;30,305;76,13726951;65,45;106,1435094;8,595744681;114,14;219,18;0,56;2;2;2;2;2;2;2;2
9.02.2001;30,07;73,37881995;56,47;90,99402912;7,995510662;90,45;149,61;0,7;2;2;2;2;2;2;2;2
12.02.2001;30,41;71,88018025;49,97;96,3033101;6,936263736;105,62;170,69;0,9;0;0;2;2;2;2;2;2
13.02.2001;29,98;60,92085325;34,63;78,44951097;3,26803014;76,76;92,92;0,93;1;1;2;0;0;0;2;0
14.02.2001;29,75;55,0960931;28,77;69,07610825;1,492537313;64,32;57,88;0,88;1;1;0;0;0;0;2;0
15.02.2001;29,184999;52,39544459;28,21;49,07778355;0,746490615;33,78;-4,8;0,68;1;1;0;0;0;0;0;0
16.02.2001;29,68;62,17391068;41,1;64,11540828;3,921572266;60,54;42,03;0,64;1;1;2;0;0;0;2;0
20.02.2001;29,235001;53,0107615;34,56;43,95143568;0,96702124;30,47;-19,78;0,49;1;1;0;0;0;0;0;0
21.02.2001;27,459999;37,9310361;26,66;-17,68606899;-5,310348276;-74,56;-261,51;-0,12;1;1;1;1;1;0;1;0
22.02.2001;26,495001;34,25338025;26,31;-22,33705281;-7,747207791;-32,71;-324,98;-0,86;1;1;1;1;1;0;1;1
23.02.2001;26;30,63427387;25,66;-14,49561629;-9,941118464;-12,64;-289,86;-1,58;1;1;1;1;1;0;1;1
26.02.2001;26,235001;25,66885365;28,21;0,136869456;-11,36823986;5,33;-202,85;-2,07;1;1;1;1;1;1;1;1
27.02.2001;26;23,650594;32,99;3,370362603;-12,48737504;0;-179,91;-2,51;1;1;1;1;1;1;1;1
28.02.2001;26,514999;26,01514411;42,31;16,10673419;-11,61667;11,68;-115,83;-2,68;1;1;1;1;1;1;1;1
1.03.2001;26,35;22,24562183;44,43;17,27025569;-13,05065171;7,94;-104,89;-2,83;1;1;1;1;1;1;1;1
2.03.2001;26,275;22,75664817;49,94;19,3903471;-12,62055205;6,24;-92,62;-2,95;0;0;1;1;1;1;1;1
5.03.2001;25,1;15,96154719;44,73;8,495450837;-17,46136139;-20,41;-125,57;-3,35;1;1;1;1;1;1;1;1
6.03.2001;24,9;16,4465082;50,42;11,26240909;-16,94462975;-4,1;-115,7;-3,7;0;0;1;1;1;1;1;1
7.03.2001;25,215;20,3788451;57,12;18,92664495;-15,24369748;6,49;-91,57;-3,84;2;0;1;1;1;1;1;1
8.03.2001;25,700001;26,99671894;64,69;27,4005946;-11,94105917;16,74;-66,72;-3,77;2;0;1;0;1;1;1;1
9.03.2001;25,75;22,44039271;62,47;30,16093012;-13,24123989;17,78;-59,76;-3,65;2;0;1;0;1;1;1;1
12.03.2001;25,049999;21,66553239;60,12;23,56942698;-14,3150397;3,46;-82,26;-3,74;2;0;1;0;1;1;1;1
13.03.2001;24,375;25,4574424;67,7;17,0817377;-11,23451971;-20,51;-108,31;-3,97;2;0;1;1;1;1;1;1
14.03.2001;23,834999;27,30374495;68,64;12,66238829;-10,03963729;-25,23;-134,43;-4,28;2;0;1;1;1;1;1;1
15.03.2001;23,825001;29,7674474;68,92;15,01760874;-8,365380769;-0,37;-135,03;-4,49;2;0;1;1;1;1;1;1
