Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;29,6875;;;;;;;;;;;;;;;
6.09.2000;30,125;;;;;;;;;;;;;;;
7.09.2000;29,5;;;;;;;;;;;;;;;
8.09.2000;28,75;;;;;;;;;;;;;;;
11.09.2000;28,375;;;;;;;;;;;;;;;
12.09.2000;29;;;;;;;;;;;;;;;
13.09.2000;27,1875;;;;;;;;;;;;;;;
14.09.2000;27,25;;;;;;;;;;;;;;;
15.09.2000;28;;;;;;;;;;;;;;;
18.09.2000;28,5;;;;;;;;;;;;;;;
19.09.2000;27,875;;;;;;;;;;;;;;;
20.09.2000;27,6875;;;;;;;;;;;;;;;
21.09.2000;27;;;;;;;;;;;;;;;
22.09.2000;28,6875;;;;;;;;;;;;;;;
25.09.2000;29,4375;48,73417722;;;-0,842105263;78;;;;;0;;0;0;0;0
26.09.2000;29,875;48,73417722;;;-0,829875519;92;;;;;0;;2;0;0;0
27.09.2000;29,875;52,02702703;;;1,271186441;100;;;;;0;;2;0;0;0
28.09.2000;29,875;56,61764706;;;3,913043478;100;;;;;0;;2;0;2;0
29.09.2000;30,1875;60,74074074;;;6,387665198;110,87;;;;;2;;2;0;2;0
2.10.2000;30,0625;56,69291339;;79,45397648;3,663793103;96,08;90,4;;;;0;0;2;0;2;0
3.10.2000;30,25;74,25742574;;82,3334364;11,26436782;101,96;99,94;;;;2;2;2;2;2;2
4.10.2000;30;71,15384615;;76,88615821;10,09174312;92,31;81,6;;;;2;0;2;2;2;2
5.10.2000;30,125;68,08510638;;78,3595914;7,589285714;96,15;85,8;;;;2;0;2;0;2;2
6.10.2000;29,875;62,22222222;;71,06213835;4,824561404;88,46;60,56;;;;2;0;2;0;2;0
9.10.2000;30,0625;71,08433735;;73,01938038;7,847533632;94,23;66,67;;;;2;0;2;2;2;2
10.10.2000;29,9375;71,95121951;;68,98350086;8,126410835;90,38;53,01;2,24;;;2;0;2;2;2;2
11.10.2000;30;83,33333333;;68,41003052;11,11111111;92,31;52,49;2,13;;;2;0;2;2;2;2
12.10.2000;28,375;46,47887324;;28,04985852;-1,089324619;-20;-69,87;1,58;;;0;0;1;0;0;0
13.10.2000;28,875;43,28358209;;38,92401915;-1,910828025;26,67;-35,93;1,27;;;0;0;0;0;1;0
16.10.2000;29;38,70967742;;41,35814631;-2,928870293;33,33;-28,93;1,05;;;1;0;0;0;1;0
17.10.2000;28;30,76923077;;14,54070139;-6,276150628;-20;-123,69;0,58;;;1;1;1;0;1;1
18.10.2000;28,0625;31,64556962;;14,51119684;-6,066945607;2,78;-123,32;0,23;;;1;1;1;0;1;1
19.10.2000;27,875;25,97402597;;2,767112869;-7,660455487;-5,56;-160,99;-0,1;;;1;1;1;1;1;1
20.10.2000;28,25;32,09876543;42,37;16,15030222;-6,029106029;15,79;-110,38;-0,26;1;1;1;1;1;0;1;1
23.10.2000;29,125;40,2173913;51,15;42,88178808;-3,719008264;52,63;-22,35;-0,13;0;0;0;0;0;0;1;0
24.10.2000;29,125;42,04545455;55,93;43,95392329;-2,916666667;55,56;-19,23;-0,03;2;2;0;0;0;0;1;0
25.10.2000;29;39,77272727;56,46;41,43727477;-3,734439834;50;-26,72;0,01;2;2;1;0;0;0;1;0
26.10.2000;28,9375;41,17647059;60;40,87475061;-3,138075314;48,57;-28,66;0,02;2;2;0;0;0;0;1;0
27.10.2000;29,75;47,36842105;63,67;66,83974251;-1,03950104;85,71;49,07;0,26;2;2;0;0;2;0;0;0
30.10.2000;31,1875;58,62068966;71,33;103,9758688;4,175365344;155,88;185,58;0,83;2;2;0;2;2;0;2;0
31.10.2000;31;56,77966102;65,39;94,9005983;3,333333333;94,34;150,91;1,22;2;2;0;2;2;0;2;0
1.11.2000;31,625;75,49019608;78,89;102,6893303;11,45374449;113,21;184,75;1,67;2;2;2;2;2;2;2;2
2.11.2000;31,9375;74,74747475;73,41;101,6749276;10,60606061;108,33;182,39;2,08;2;2;2;2;2;2;2;2
3.11.2000;32,375;75,96153846;70,52;101,5095648;11,63793103;110,77;180,34;2,49;2;2;2;2;2;2;2;2
6.11.2000;32;84,04255319;67,54;89,97459285;14,28571429;91,67;131,2;2,67;2;2;2;2;2;2;2;2
7.11.2000;31,75;80,41237113;58,18;82,60207419;13,1403118;86,11;100,66;2,72;2;2;2;2;2;2;2;2
8.11.2000;31,625;81,25;51,71;78,25432346;13,4529148;83,33;82,71;2,69;0;0;2;0;2;2;2;2
9.11.2000;31,75;80,43478261;45,63;77,39786417;12,38938053;84,85;77,95;2,67;0;0;2;0;2;2;2;2
10.11.2000;33,0625;81,81818182;45,18;92,10932339;13,5193133;120;125,13;2,96;0;0;2;2;2;2;2;2
13.11.2000;33,0625;81,81818182;42,33;87,35360228;13,5193133;100;109,8;3,14;1;0;2;2;2;2;2;2
14.11.2000;33,4375;84,46601942;43,79;88,45222374;15,30172414;109,09;115,79;3,34;1;0;2;2;2;2;2;2
15.11.2000;33,3125;83,65384615;41,88;83,54497401;15,1187905;97,22;103,05;3,42;1;0;2;2;2;2;2;2
16.11.2000;32,6875;73,26732673;32,15;72,74603174;9,87394958;79,66;69,86;3,29;1;0;2;0;0;2;2;2
17.11.2000;33,4375;70;28,27;82,03303883;7,214428858;100;104,1;3,33;1;0;2;2;2;0;2;2
20.11.2000;33,5;72,72727273;30,98;80,36886487;8,064516129;102,56;103,63;3,34;1;0;2;2;2;2;2;2
21.11.2000;33,9375;71,76470588;32,87;84,90255421;7,312252964;123,33;122,71;3,42;1;0;2;2;2;2;2;2
22.11.2000;34,25;71,76470588;36,39;88,1768415;7,240704501;113,51;131,98;3,51;1;0;2;2;2;2;2;2
24.11.2000;33,6875;62,06896552;34,17;77,34218347;4,054054054;78,57;85,33;3,4;1;1;2;0;0;0;2;0
27.11.2000;31,9375;49,5412844;31,46;33,98964767;-0,1953125;11,9;-49,14;2,85;1;1;0;0;1;0;0;0
28.11.2000;31,25;46,55172414;33,21;15,87413281;-1,57480315;-14,29;-107,24;2,22;1;1;0;1;1;0;0;0
29.11.2000;32,5;55,2238806;48,73;46,22563305;2,766798419;41,67;-12,8;2,01;0;0;0;0;0;0;2;0
30.11.2000;31,875;50,70422535;46,71;27,86722771;0,393700787;20,83;-68,93;1,67;0;0;0;0;0;0;0;0
1.12.2000;30,9375;37,5;36,63;5,912037983;-6,427221172;-10,42;-145,42;1,15;1;1;1;1;1;0;1;0
4.12.2000;31,4375;40,97222222;44,84;21,5342435;-4,914933837;15,09;-89,14;0,85;1;1;0;0;1;0;1;0
5.12.2000;30,5;34,64052288;41,52;4,027698128;-8,785046729;-13,21;-151,36;0,37;1;1;1;1;1;0;1;1
6.12.2000;29,625;32,12121212;41,87;-5,256642538;-11,06941839;-23,33;-194,33;-0,23;1;1;1;1;1;0;1;1
7.12.2000;30,25;38,18181818;52,69;11,2621764;-7,456978967;13,51;-129,47;-0,54;0;0;1;1;1;0;1;0
8.12.2000;29,5;30,90909091;47,67;3,998954929;-11,77570093;-2,7;-155,95;-0,97;0;0;1;1;1;0;1;1
11.12.2000;29,9375;33,33333333;52,79;15,85179009;-10,63432836;9,21;-110,12;-1,19;0;0;1;1;1;0;1;1
12.12.2000;30,875;36,31284916;56,68;33,09188459;-9,023941068;28,95;-53,09;-1,11;2;2;1;0;0;0;1;0
13.12.2000;31,125;35,95505618;56,99;38,85462032;-9,124087591;34,21;-35,7;-0,97;2;2;1;0;0;0;1;0
14.12.2000;31,5625;40,34090909;61,69;47,57323227;-6,307977737;49,25;-9,35;-0,73;2;2;0;0;0;0;1;0
15.12.2000;31,5;47,65100671;71,51;47,48426708;-1,369863014;66,67;-9,9;-0,56;2;2;0;0;0;0;0;0
18.12.2000;32,3125;55,62913907;75,97;63,04767498;3,4;93,75;41,21;-0,21;2;2;0;0;2;0;2;0
19.12.2000;32,875;52,14285714;71,5;74,39730403;1,153846154;112,5;82,37;0,21;2;2;0;0;2;0;0;0
20.12.2000;31,375;47,4025974;60,03;48,804538;-1,568627451;55,56;-6,19;0,16;2;2;0;0;0;0;0;0
21.12.2000;32,6875;58,75;67,68;80,37966506;5,656565657;94,44;104,59;0,45;2;2;0;2;2;0;2;0
22.12.2000;32,6875;56,57894737;60,86;84,27250132;3,976143141;94,44;115,57;0,66;2;2;0;2;2;0;2;0
26.12.2000;32,5;61,42857143;61,1;78,22366263;6,557377049;88,89;92,66;0,78;2;2;2;0;2;0;2;0
27.12.2000;33,125;70,58823529;64,55;88,55529454;11,81434599;107,41;128,28;1,02;2;2;2;2;2;2;2;2
28.12.2000;33,875;71,01449275;60,18;99,44608426;11,98347107;120,69;174,53;1,37;2;2;2;2;2;2;2;2
29.12.2000;34;78,125;58,58;95,46325409;15,25423729;102,86;156,95;1,66;2;2;2;2;2;2;2;2
2.01.2001;33,5;72,09302326;48,25;82,33999826;11,89979123;87,69;102,9;1,75;0;0;2;2;2;2;2;2
3.01.2001;33,6875;69,23076923;38,95;82,29270456;9,109311741;90;99,42;1,84;1;1;2;2;2;0;2;2
4.01.2001;33;62,09677419;32,62;68,31267126;6,024096386;65,22;53,78;1,72;1;1;2;0;0;0;2;0
5.01.2001;32,9375;59,3220339;29,25;65,31682299;4,356435644;59,52;44,95;1,59;1;1;0;0;0;0;2;0
8.01.2001;33;60,16949153;30,78;64,60337063;4,761904762;61,9;44,18;1,49;1;1;2;0;0;0;2;0
9.01.2001;33,0625;55,66037736;27,36;64,18659836;2,321083172;64,29;43,48;1,41;1;1;0;0;0;0;2;0
10.01.2001;33,1875;52,52525253;28,53;65,67723065;0,950570342;69,05;48,81;1,36;1;1;0;0;0;0;0;0
11.01.2001;32,6875;62,65060241;36,04;49,18592669;4,183266932;50;-4,83;1,18;1;1;2;0;0;0;2;0
12.01.2001;33,625;59,74025974;37,56;76,68146103;2,868068834;75;92,54;1,26;1;1;0;0;0;0;2;0
16.01.2001;34,125;63,52941176;45,67;90,10240684;4,397705545;108,33;150,21;1,42;0;0;2;2;2;0;2;0
17.01.2001;34,6875;69,23076923;53,95;103,6457727;6,730769231;134,62;212,18;1,67;0;0;2;2;2;0;2;2
18.01.2001;33,625;54,08163265;41,79;65,23096734;1,509433962;46,88;50,59;1,59;1;1;0;0;0;0;0;0
19.01.2001;32,8125;41,41414141;35,42;36,63690623;-3,136531365;6,25;-47,58;1,31;1;1;0;0;1;0;1;0
22.01.2001;33,5;46,2962963;45;58,7632816;-1,470588235;40,63;24,96;1,24;0;0;0;0;0;0;0;0
23.01.2001;32,875;45,45454545;47,03;30,49045717;-1,865671642;9,38;-63,52;1,03;0;0;0;0;1;0;0;0
24.01.2001;30,8125;33,57142857;38,8;-27,05503092;-8,53432282;-93,75;-348,31;0,35;1;1;1;1;1;0;1;1
25.01.2001;29,5625;31,54362416;40,12;-28,21395853;-10,41666667;-32,26;-429,16;-0,5;1;1;1;1;1;0;1;1
26.01.2001;29;29,93630573;41,57;-16,92738801;-11,9544592;-10,98;-351,37;-1,31;1;1;1;1;1;1;1;1
29.01.2001;29,52;33,05744888;47,82;1,359097759;-10,54545455;9,14;-214,94;-1,81;0;0;1;1;1;0;1;1
30.01.2001;29,450001;32,42520384;48,92;7,012184431;-10,92627297;7,91;-164,78;-2,2;0;0;1;1;1;0;1;1
31.01.2001;29,35;31,28505243;49,58;11,10891229;-11,56308851;6,15;-134,51;-2,52;0;0;1;1;1;0;1;1
1.02.2001;29,030001;31,84413322;52,13;11,95458073;-11,18928948;0,53;-123,47;-2,82;0;0;1;1;1;0;1;1
2.02.2001;29,43;28,00209292;51,27;20,5276378;-12,47583643;7,56;-89,6;-2,93;0;0;1;0;1;1;1;1
5.02.2001;29,360001;23,83305563;50,59;22,64827601;-13,96336703;6,33;-80,57;-3;0;0;1;0;1;1;1;1
6.02.2001;30,030001;24,72184251;52,96;32,74927059;-13,42702414;18,11;-49,72;-2,85;0;0;1;0;1;1;1;1
