Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;46,125;;;;;;;;;;;;;;;
6.09.2000;47,0625;;;;;;;;;;;;;;;
7.09.2000;45,8125;;;;;;;;;;;;;;;
8.09.2000;44,96875;;;;;;;;;;;;;;;
11.09.2000;44,46875;;;;;;;;;;;;;;;
12.09.2000;44,03125;;;;;;;;;;;;;;;
13.09.2000;43,25;;;;;;;;;;;;;;;
14.09.2000;42,5;;;;;;;;;;;;;;;
15.09.2000;42,5625;;;;;;;;;;;;;;;
18.09.2000;41,59375;;;;;;;;;;;;;;;
19.09.2000;41,9375;;;;;;;;;;;;;;;
20.09.2000;40,875;;;;;;;;;;;;;;;
21.09.2000;43,21875;;;;;;;;;;;;;;;
22.09.2000;44,125;;;;;;;;;;;;;;;
25.09.2000;45;45,33678756;;;-2,43902439;66,67;;;;;0;;0;0;0;0
26.09.2000;44,9375;40,5027933;;;-4,515272244;65,66;;;;;0;;0;0;1;0
27.09.2000;44,96875;45,76802508;;;-1,841746248;82,91;;;;;0;;2;0;0;0
28.09.2000;45,8125;54,23197492;;;1,876302988;119,7;;;;;0;;2;0;0;0
29.09.2000;45,5625;55,62700965;;;2,45959241;94,94;;;;;0;;2;0;2;0
2.10.2000;45,84375;59,47712418;;74,72244942;4,116394606;100,63;77,07;;;;0;0;2;0;2;0
3.10.2000;47;68,86792453;;89,92364519;8,670520231;123,27;131,61;;;;2;2;2;0;2;2
4.10.2000;47,75;76,41509434;;98,52654697;12,35294118;112,24;166,57;;;;2;2;2;2;2;2
5.10.2000;46,625;68,46590909;;81,55095038;9,544787078;83,64;102,89;;;;2;2;2;0;2;2
6.10.2000;46,09375;71,30177515;;73,1254945;10,81893313;75,91;72,25;;;;2;0;0;2;2;2
9.10.2000;45,875;68,86227545;;68,99773353;9,388971684;72,73;56,9;;;;2;0;0;0;2;2
10.10.2000;46,5625;78,26086957;;75,69878791;13,91437309;82,73;77,74;2,5;;;2;0;2;2;2;2
11.10.2000;46,625;71,8875502;;74,07615062;7,881417209;75,17;73,66;2,44;;;2;0;0;2;2;2
12.10.2000;45,4375;58,13953488;;57,42114974;2,974504249;36,21;21,77;2,15;;;0;0;0;0;2;0
13.10.2000;45,5;53,44827586;;56,55587518;1,111111111;20;20,01;1,91;;;0;0;0;0;0;0
16.10.2000;46,09375;57,42971888;;62,76990296;2,573018081;41,11;43,44;1,81;;;0;0;0;0;2;0
17.10.2000;45,5625;53,58490566;;52,16948701;1,320361362;21,35;5,8;1,61;;;0;0;0;0;0;0
18.10.2000;45,5625;48,31932773;;46,97420619;-0,545702592;5,41;-12,91;1,44;;;0;0;1;0;0;0
19.10.2000;44,5;43,56060606;;13,53347233;-2,331961591;-40,54;-136,08;1,11;;;0;1;1;0;1;0
20.10.2000;43,625;37,45583039;27,69;-7,552834179;-4,839809134;-26,92;-233,45;0,68;1;1;1;1;1;0;1;0
23.10.2000;44,90625;38,32752613;36,25;27,81925205;-4,454787234;31,06;-82,47;0,56;1;1;1;0;0;0;1;0
24.10.2000;45,03125;33,70786517;39,31;31,01814437;-5,693717277;34,09;-70,42;0,48;1;1;1;0;0;0;1;1
25.10.2000;45,0625;39,22413793;49,96;31,66578497;-3,351206434;47,92;-68,16;0,42;0;0;1;0;0;0;1;0
26.10.2000;46,09375;50;62,18;59,64639033;0;82,29;30,86;0,55;2;2;0;0;2;0;0;0
27.10.2000;46,75;55,34351145;68,64;75,38021498;1,907356948;104,17;86,16;0,76;2;2;0;0;2;0;2;0
30.10.2000;47,5;55,68181818;69,01;90,23529831;2,013422819;124;139,5;1,04;2;2;0;2;2;0;2;0
31.10.2000;48,3125;59,375;71,59;103,1181324;3,619302949;120,97;198,43;1,39;2;2;0;2;2;0;2;0
1.11.2000;47,5625;62,40875912;70,34;86,98040423;4,676753783;84;130,85;1,52;2;2;2;2;2;0;2;0
2.11.2000;47,46875;61,45454545;65,9;82,69398975;4,326923077;82;112,54;1,58;2;2;2;2;2;0;2;0
3.11.2000;47,4375;58,36575875;60,03;79,44925668;2,915254237;81,33;96,48;1,61;2;2;0;0;2;0;2;0
6.11.2000;48,6875;67,85714286;65,57;97,66028915;6,858710562;108;163,73;1,82;2;2;2;2;2;0;2;2
7.11.2000;48,46875;66,20209059;58,63;89,05641915;6,378600823;95,68;126,89;1,93;2;2;2;2;2;0;2;2
8.11.2000;48,65625;75,67567568;60,83;88,13206977;9,33988764;99,38;120,05;2,02;2;2;2;2;2;2;2;2
9.11.2000;48,6875;84,9137931;60,96;84,53206607;11,60458453;100;105,56;2,08;2;2;2;2;2;2;2;2
10.11.2000;47,5;68,12227074;43,98;63,96147041;5,77592206;68,6;39,56;1,89;1;1;2;0;0;0;2;2
13.11.2000;47,40625;66,66666667;40,59;61,37994885;5,274115198;64,96;31,8;1,71;1;1;2;0;0;0;2;2
14.11.2000;47,5;66,95652174;39,3;61,44432947;5,409153953;67,24;32,66;1,57;1;1;2;0;0;0;2;2
15.11.2000;47,6875;62,56157635;32,16;62,91671212;3,457627119;61,45;38,22;1,47;1;1;2;0;0;0;2;0
16.11.2000;47,65625;57,92349727;27,79;60,47792168;1,938502674;46,77;32,16;1,37;1;1;0;0;0;0;2;0
17.11.2000;48;54,70588235;28,76;65,18432433;1,052631579;46,34;50,34;1,33;1;1;0;0;0;0;0;0
20.11.2000;47,3125;40,36144578;24,12;47,564962;-2,069857697;-7,32;-11,63;1,17;1;1;0;0;1;0;1;0
21.11.2000;47,84375;52,83018868;37,46;58,27101274;0,591327201;38,64;29,71;1,12;1;1;0;0;0;0;0;0
22.11.2000;47,90625;54,43037975;42,86;57,85522896;0,921658986;43,18;25;1,08;1;1;0;0;0;0;0;0
24.11.2000;47,90625;54,77707006;46,38;55,18926786;0,988142292;43,18;14,47;1,04;0;0;0;0;0;0;0;0
27.11.2000;49,625;58,72093023;52,17;120,6620266;1,925545571;168,18;287,38;1,28;0;0;0;2;2;0;2;0
28.11.2000;49,4375;59,06432749;54,3;102,3923545;1,998710509;91,89;191,62;1,42;0;0;0;2;2;0;2;0
29.11.2000;50,0625;62,16216216;58,41;110,5550022;2,89017341;118,92;228,55;1,61;2;2;2;2;2;0;2;0
30.11.2000;49,9375;60,63829787;57,43;98,23114019;2,567394095;95,45;165,35;1,73;2;2;2;2;2;0;2;0
1.12.2000;49,8125;74,02597403;67,2;89,47043174;4,868421053;90,91;127,11;1,77;2;2;2;2;2;2;2;2
4.12.2000;52,5;84,38818565;77,93;126,7527078;10,74489123;188,64;325,04;2,22;2;2;2;2;2;2;2;2
5.12.2000;58,3125;91,19047619;85,71;143,1113736;22,76315789;212,05;600,44;3,47;2;2;2;2;2;2;2;2
6.12.2000;57,5625;86,07305936;70,98;115,0977969;20,70773263;93,18;323,12;4,25;2;2;2;2;2;2;2;2
7.12.2000;57,34375;84,90990991;63,26;102,5937506;20,32786885;91,19;226,68;4,76;2;2;2;2;2;2;2;2
8.12.2000;58,46875;85,71428571;60,56;100,7746745;21,80989583;101,42;198,64;5,26;2;2;2;2;2;2;2;2
11.12.2000;57,625;84,81012658;55,16;90,00836077;21,79656539;92,44;135,64;5,45;2;2;2;2;2;2;2;2
12.12.2000;56,9375;80,37578288;48,57;82,28727485;19,00718485;85,59;99,74;5,43;0;0;2;2;2;2;2;2
13.12.2000;56,90625;80,12552301;45,98;79,02105988;18,78669276;85,21;85,01;5,34;0;0;2;0;2;2;2;2
14.12.2000;55,5;73,23135755;41,56;68,95817196;15,85127202;71,89;52,34;5;1;0;2;0;0;2;2;2
15.12.2000;56,09375;71,25256674;37,8;70,25851711;13,03526448;73,7;55,61;4,76;1;0;2;0;0;2;2;2
