Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;35,0625;;;;;;;;;;;;;;;
6.09.2000;34,71875;;;;;;;;;;;;;;;
7.09.2000;35,03125;;;;;;;;;;;;;;;
8.09.2000;34,65625;;;;;;;;;;;;;;;
11.09.2000;34,40625;;;;;;;;;;;;;;;
12.09.2000;34,0625;;;;;;;;;;;;;;;
13.09.2000;34,125;;;;;;;;;;;;;;;
14.09.2000;32,90625;;;;;;;;;;;;;;;
15.09.2000;32,09375;;;;;;;;;;;;;;;
18.09.2000;31,5;;;;;;;;;;;;;;;
19.09.2000;32,5;;;;;;;;;;;;;;;
20.09.2000;32,125;;;;;;;;;;;;;;;
21.09.2000;32,09375;;;;;;;;;;;;;;;
22.09.2000;31,625;;;;;;;;;;;;;;;
25.09.2000;30,625;19,13043478;;;-12,65597148;-24,56;;;;;1;;1;1;1;1
26.09.2000;31,34375;27,68595041;;;-9,720972097;16,31;;;;;1;;1;1;1;1
27.09.2000;30,3125;21,50943396;;;-13,47011597;-7,09;;;;;1;;1;1;1;1
28.09.2000;30,65625;25,75757576;;;-11,54192967;7,91;;;;;1;;1;1;1;1
29.09.2000;30,15625;25;;;-12,3524069;-3,82;;;;;1;;1;1;1;1
2.10.2000;29,5625;24,28571429;;9,375856309;-13,21100917;-14,96;-132,69;;;;1;1;1;1;1;1
3.10.2000;28,28125;20,68965517;;-0,451802811;-17,12454212;-28,08;-178,74;;;;1;1;1;1;1;1
4.10.2000;27,71875;22,14765101;;0,377721443;-15,76448243;-12,16;-184,57;;;;1;1;1;1;1;1
5.10.2000;27,6875;24,17582418;;5,535318583;-13,72930867;-0,65;-164,13;;;;1;1;1;1;1;1
6.10.2000;27,78125;26,84824903;;10,92175112;-11,80555556;1,95;-139,08;;;;1;1;1;1;1;1
9.10.2000;27,09375;14,97975709;;7,58565288;-16,63461538;-12,34;-149,35;;;;1;1;1;1;1;1
10.10.2000;27,28125;17,84232365;;13,47111046;-15,07782101;3,73;-124,77;-7,72;;;1;1;1;1;1;1
11.10.2000;27,875;23,93822394;;22,69280037;-13,14508277;15,63;-87,37;-7,48;;;1;0;1;1;1;1
12.10.2000;27,1875;23,30827068;;17,22640782;-14,03162055;2,07;-102,37;-7,4;;;1;1;1;1;1;1
13.10.2000;26,875;25,40983607;;16,94393732;-12,24489796;-5,15;-101,87;-7,35;;;1;1;1;1;1;1
16.10.2000;25,1875;14,18181818;;3,315590403;-19,64107677;-37,76;-150,27;-7,72;;;1;1;1;1;1;1
17.10.2000;25,21875;16,46090535;;8,526709628;-16,80412371;0,57;-132,53;-7,92;;;1;1;1;1;1;1
18.10.2000;25,875;19,76284585;;19,09570472;-15,59633028;12,57;-98,12;-7,82;;;1;1;1;1;1;1
19.10.2000;30,9375;53,13283208;;81,39963067;2,590673575;115,72;98,25;-6,2;;;0;2;2;0;0;0
20.10.2000;32,59375;61,20092379;76,09;99,27405769;10,25369979;128,8;166,65;-4,4;2;2;2;2;2;0;2;0
23.10.2000;31,0625;60,09070295;67,01;80,41645999;9,834254144;79,32;95,57;-3,38;2;2;2;2;0;0;2;0
24.10.2000;30,75;61,20092379;61,91;77,54939548;10,93573844;75,11;85,79;-2,63;2;2;2;0;0;0;2;0
25.10.2000;30,625;60,77981651;57,55;75,68426248;10,60948081;73,42;79,1;-2,04;2;2;2;0;0;0;2;0
26.10.2000;32,21875;64,66942149;58,31;91,62918982;15,97300337;94,94;136,22;-1,14;2;2;2;2;2;0;2;0
27.10.2000;33,84375;71,01167315;60,96;101,7510963;24,91349481;116,88;176,75;0,01;2;2;2;2;2;2;2;2
30.10.2000;34,53125;71,88679245;57,59;100,0994124;26,57502864;107,94;167,16;1,07;2;2;2;2;2;2;2;2
31.10.2000;34,4375;70,42801556;51,43;92,88804733;23,5426009;99;134,56;1,84;0;0;2;2;2;2;2;2
1.11.2000;34,8125;74,20634921;51,28;90,36867028;28,04597701;103,01;123,83;2,51;0;0;2;2;2;2;2;2
2.11.2000;35,15625;76,23762376;49,67;88,06522569;30,81395349;103,57;115,86;3,08;0;0;2;2;2;2;2;2
3.11.2000;34,125;79,54545455;48,12;77,60232044;35,48387097;89,66;81,96;3,23;0;0;2;0;2;2;2;2
6.11.2000;34,75;80,31809145;47,09;79,02892294;37,79429988;95,91;88,81;3,45;0;0;2;0;2;2;2;2
7.11.2000;35,25;80,12048193;43,86;79,4675776;36,23188406;101,01;92,3;3,7;1;0;2;0;2;2;2;2
8.11.2000;34,71875;67,1388102;17,97;73,32839602;12,22222222;88,51;71,78;3,73;1;1;2;0;2;0;2;2
9.11.2000;35,4375;64,08668731;16,78;75,83667922;8,724832215;104,05;81,45;3,87;1;1;2;0;2;0;2;0
10.11.2000;33,6875;62,72727273;17,87;61,43630377;8,450704225;63,64;35,23;3,52;1;1;2;0;0;0;2;0
13.11.2000;33,21875;61,79104478;20,44;55,48884607;8,028455285;53,9;16,17;3,1;1;1;2;0;0;0;2;0
14.11.2000;34,40625;66,39566396;34,86;64,55507707;12,34693878;78,57;46,97;3,01;1;1;2;0;0;0;2;2
15.11.2000;35,03125;63,31360947;36,8;73,13370582;8,729388943;87,38;70,09;3,05;1;1;2;0;2;0;2;0
16.11.2000;34,46875;53,28947368;32,03;62,50723512;1,846722068;56,34;38;2,92;1;1;0;0;0;0;0;0
17.11.2000;34,53125;50;33,78;62,05737909;0;59,15;37,87;2,8;1;1;0;0;0;0;0;0
20.11.2000;33,59375;45,65916399;35,28;43,43493967;-2,450090744;16,9;-25,31;2,45;1;1;0;0;1;0;0;0
21.11.2000;33,875;45,12987013;41,35;44,76632321;-2,692998205;29,58;-21,36;2,21;1;1;0;0;0;0;0;0
22.11.2000;34,125;44,59016393;47,08;44,47946617;-2,933333333;40,85;-20,72;2,06;0;0;0;0;0;0;1;0
24.11.2000;34,96875;54,51505017;60,77;72,71192387;2,472527473;78,87;73,34;2,12;2;2;0;0;0;0;0;0
27.11.2000;35,34375;53,26460481;61,32;84,63488018;1,708633094;95,77;118,48;2,22;2;2;0;2;2;0;0;0
28.11.2000;33,5;41,61676647;51,79;12,92316879;-4,964539007;12,68;-129,05;1,85;0;0;0;1;1;0;1;0
29.11.2000;32,53125;39,94252874;53,06;-8,975700233;-6,300630063;-30,99;-222,05;1,31;0;0;1;1;1;0;1;0
30.11.2000;28,6875;25,89285714;39,85;-41,06272436;-19,04761905;-132,26;-552,29;-0,05;1;1;1;1;1;1;1;1
1.12.2000;28,3125;28,71287129;48,09;-19,99663303;-15,9554731;-5,63;-381,17;-1,22;0;0;1;1;1;1;1;1
4.12.2000;28,21875;29,59183673;51,48;-6,891043264;-15,05174036;-1,33;-265,89;-2,18;0;0;1;1;1;1;1;1
5.12.2000;29,9375;32,51833741;53,77;16,29360032;-12,98819255;24,12;-130,06;-2,48;0;0;1;1;0;0;1;1
6.12.2000;28,34375;25,68181818;46,64;6,41061833;-19,09009813;1,75;-160,84;-3,1;0;0;1;1;1;1;1;1
7.12.2000;26,5625;23,5908142;45,48;-0,807336986;-22,93744334;-23,25;-181,92;-4,03;0;0;1;1;1;1;1;1
8.12.2000;27,21875;26,5060241;50,21;10,37883071;-21,17647059;7,47;-128,93;-4,56;0;0;1;1;1;1;1;1
11.12.2000;29,03125;36,121673;58,74;27,83640173;-13,58139535;28,11;-66,55;-4,46;2;2;1;0;0;0;1;0
12.12.2000;29,1875;35,63218391;58,42;31,00469065;-13,83763838;29,89;-55,52;-4,28;2;2;1;0;0;0;1;0
13.12.2000;28,625;33,45864662;55,79;28,72723537;-16,11721612;23,49;-61,69;-4,25;2;0;1;0;0;0;1;1
14.12.2000;27,75;28,33020638;51,08;24,2648347;-20,64343164;13,52;-74,95;-4,42;0;0;1;0;1;1;1;1
15.12.2000;24,59375;22,34726688;43,62;5,09869959;-30,41556145;-22,42;-140,26;-5,37;1;1;1;1;1;1;1;1
18.12.2000;23,90625;23,76068376;48,49;6,092383492;-28,6380597;-7,72;-144,63;-6,29;0;0;1;1;1;1;1;1
19.12.2000;22,40625;23,089701;48,89;2,909894146;-31,12391931;-17,39;-167,83;-7,41;0;0;1;1;1;1;1;1
20.12.2000;20,75;26,12781955;57,14;0,258434838;-27,66884532;-21,99;-195,42;-8,75;2;0;1;1;1;1;1;1
21.12.2000;21,71875;30,85299456;60,41;11,07921139;-23,28918322;10,54;-154,46;-9,47;2;0;1;1;1;0;1;1
22.12.2000;23,21875;36,57718121;62,49;22,66209671;-17,71871539;26,87;-100,75;-9,5;2;2;1;0;0;0;1;0
26.12.2000;23,4375;31,02189781;56,86;25,56772223;-21,71189979;29,25;-83;-9,35;2;0;1;0;0;0;1;1
27.12.2000;23,21875;33,73015873;59,95;25,73041616;-18,08158765;29,26;-77,63;-9,22;2;0;1;0;0;0;1;1
28.12.2000;22,28125;35,639413;60;20,2858212;-16,11764706;18,15;-90,12;-9,32;2;2;1;0;1;0;1;0
29.12.2000;21,6875;31,36842105;54,97;18,88044809;-20,32146958;11,11;-93,48;-9,51;0;0;1;1;1;0;1;1
2.01.2001;21,6875;21,82254197;46,96;22,00222195;-25,29601722;11,11;-83,64;-9,58;0;0;1;0;1;1;1;1
3.01.2001;23,96875;32,78350515;54,72;42,19669344;-17,88008565;38,15;-24,16;-8,77;0;0;1;0;0;0;1;1
4.01.2001;24,21875;35,15789474;55,61;46,35774272;-15,3930131;44,05;-12,6;-7,95;2;2;1;0;0;0;1;0
5.01.2001;24,5625;38,86462882;58,62;51,22259105;-11,48648649;54,46;1,8;-7,1;2;2;1;0;0;0;1;0
8.01.2001;24,46875;49,44444444;72,12;51,33869578;-0,508259212;96,75;2,25;-6,39;2;2;0;0;2;0;0;0
9.01.2001;25,90625;58,33333333;74,31;66,27979952;8,366013072;135,25;53,98;-5,28;2;2;0;0;2;0;2;0
10.01.2001;26,4375;68,27195467;75,44;74,65980915;17,9916318;110,3;85,09;-4,19;2;2;2;0;2;0;2;2
11.01.2001;27,5;82,33532934;79,3;89,6849798;32,53012048;118,68;142,08;-2,94;2;2;2;2;2;2;2;2
12.01.2001;26,75;74,617737;60,38;84,74129113;23,16546763;87,1;118,98;-2,18;2;2;2;2;2;2;2;2
16.01.2001;26,28125;66,66666667;43,47;81,62056803;13,1897712;79,03;105,16;-1,7;1;1;2;2;0;0;2;2
17.01.2001;26,46875;66,55290102;40,53;81,60102547;12,93333333;82,26;103,43;-1,25;1;1;2;2;2;0;2;2
18.01.2001;27,75;72,17125382;45,37;92,05308042;19,51547779;104,3;137,94;-0,49;0;0;2;2;2;2;2;2
19.01.2001;30,5;84,15584416;58,54;109,5955222;36,88639551;145,36;216,57;0,93;2;2;2;2;2;2;2;2
22.01.2001;30,0625;85,26315789;53,46;98,57141277;38,6167147;95,04;166,69;1,88;0;0;2;2;2;2;2;2
23.01.2001;30,28125;85,52971576;49,67;94,62348367;39,62536023;97,52;149,6;2,65;0;0;2;2;2;2;2;2
24.01.2001;31,46875;84,09090909;39,23;97,61301964;31,29074316;114,83;163,61;3,55;1;0;2;2;2;2;2;2
25.01.2001;30,90625;79,55801105;34,9;87,9698127;27,61290323;92,24;127,89;4,03;1;0;2;2;2;2;2;2
26.01.2001;32;80,82901554;37,04;91,27367411;30,27989822;107,59;142,14;4,65;1;0;2;2;2;2;2;2
29.01.2001;32,25;81,84143223;36,94;88,86710684;31,80076628;103,32;129,01;5,13;1;0;2;2;2;2;2;2
30.01.2001;31,6875;75,48209366;28,82;81,99477735;22,31604343;91,13;100,31;5,29;1;0;2;2;2;2;2;2
31.01.2001;30,53125;67,10182768;26,94;71,09216194;15,48463357;71,2;60,17;5,03;1;1;2;0;0;0;2;2
1.02.2001;31,1875;65,94594595;30,31;74,57521914;13,40909091;82,2;69,65;4,95;1;1;2;0;2;0;2;2
2.02.2001;30,40625;65,76819407;33,13;65,54697868;13,6682243;69,11;42,33;4,61;1;1;2;0;0;0;2;2
5.02.2001;30,96875;70,05347594;41,25;69,091915;17,83590963;78,53;53,09;4,45;1;0;2;0;0;2;2;2
6.02.2001;31,28125;70,37037037;44,94;70,68155356;18,18181818;83,24;58,39;4,35;1;0;2;0;2;2;2;2
7.02.2001;32,34375;69,81132075;46,5;80,35483848;16,55405405;102,08;92;4,49;0;0;2;2;2;0;2;2
8.02.2001;31,125;53,10559006;31,56;63,91321129;2,049180328;46,58;42,63;4,24;1;1;0;0;0;0;0;0
9.02.2001;29,5625;47,76536313;31,08;42,22212556;-1,663201663;-21,92;-28,81;3,58;1;1;0;0;1;0;0;0
12.02.2001;29,375;45,93837535;34,5;36,71180543;-2,992776058;-6,74;-50,72;2,98;1;1;0;0;1;0;0;0
13.02.2001;29,09375;38,41463415;34,73;27,06983389;-7,547169811;-9,47;-87,8;2,39;1;1;1;0;1;0;1;0
14.02.2001;29,1875;41,21405751;44,36;20,32253494;-5,561172902;2,88;-105,23;1,93;1;1;0;0;1;0;1;0
15.02.2001;29,40625;35,43859649;46,5;18,81635818;-8,10546875;9,62;-104,39;1,61;0;0;1;1;1;0;1;0
16.02.2001;28,65625;30,89700997;46,34;6,588610281;-11,14341085;-13,46;-147,29;1,14;0;0;1;1;1;0;1;1
20.02.2001;27,9375;30,39215686;49,66;-0,667883898;-11,83431953;-19,49;-178,11;0,56;0;0;1;1;1;0;1;1
21.02.2001;28,125;36;59,44;8,822582612;-7,881269191;4,26;-138,05;0,15;2;2;1;1;1;0;1;0
22.02.2001;27,59375;28,78228782;56;6,068974415;-11,52304609;-7,8;-146,37;-0,32;2;0;1;1;1;1;1;1
23.02.2001;28,375;38,00738007;65,74;22,52268371;-6,68036999;16,45;-86,14;-0,48;2;2;1;0;1;0;1;0
26.02.2001;29,78125;43,62416107;68,16;47,78791822;-3,834510595;46,05;-8,43;-0,21;2;2;0;0;0;0;1;0
27.02.2001;29,6875;41,2371134;64,75;48,21349878;-5,094905095;44,08;-7,41;-0,02;2;2;0;0;0;0;1;0
