Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;47,125;;;;;;;;;;;;;;;
6.09.2000;48,3125;;;;;;;;;;;;;;;
7.09.2000;48,375;;;;;;;;;;;;;;;
8.09.2000;49,3125;;;;;;;;;;;;;;;
11.09.2000;50,625;;;;;;;;;;;;;;;
12.09.2000;49,75;;;;;;;;;;;;;;;
13.09.2000;48,5;;;;;;;;;;;;;;;
14.09.2000;49,4375;;;;;;;;;;;;;;;
15.09.2000;48,8125;;;;;;;;;;;;;;;
18.09.2000;46,75;;;;;;;;;;;;;;;
19.09.2000;48,625;;;;;;;;;;;;;;;
20.09.2000;47,75;;;;;;;;;;;;;;;
21.09.2000;48,3125;;;;;;;;;;;;;;;
22.09.2000;50,5625;;;;;;;;;;;;;;;
25.09.2000;49,5;57,48031496;;;5,039787798;70,97;;;;;0;;0;0;2;0
26.09.2000;49,4375;53,81355932;;;2,328589909;69,35;;;;;0;;0;0;0;0
27.09.2000;49,6875;54,39330544;;;2,713178295;75,81;;;;;0;;0;0;0;0
28.09.2000;50,4375;53,81355932;;;2,281368821;95,16;;;;;0;;2;0;0;0
29.09.2000;50,375;49,07407407;;;-0,49382716;93,55;;;;;0;;2;0;0;0
2.10.2000;50,0625;51,20772947;;72,753648;0,628140704;86,89;70,47;;;;0;0;2;0;0;0
3.10.2000;48,9375;51,70731707;;44,65602337;0,902061856;57,38;-18,84;;;;0;0;0;0;0;0
4.10.2000;48,1875;45,04950495;;26,29912777;-2,528445006;37,7;-80,68;;;;0;0;0;0;0;0
5.10.2000;48,375;48,20512821;;30,93569982;-0,896286812;42,62;-64,41;;;;0;0;0;0;0;0
6.10.2000;46,8125;50,26737968;;1,472089354;0,13368984;1,64;-171,94;;;;0;1;1;0;0;0
9.10.2000;45,8125;36,99421965;;-7,798600391;-5,784061697;-26,67;-221,1;;;;1;1;1;0;1;0
10.10.2000;44,0625;34,22459893;;-17,63623033;-7,722513089;-36,84;-291,64;-1,93;;;1;1;1;0;1;1
11.10.2000;45,5;38,80597015;;9,93867534;-5,821474774;22,12;-150,05;-2,16;;;1;1;0;0;1;0
12.10.2000;44,5625;23,33333333;;4,527933378;-11,86650185;7,69;-169,3;-2,47;;;1;1;1;1;1;1
13.10.2000;46;34,94623656;;25,56067137;-7,070707071;30,39;-81,76;-2,45;;;1;0;0;0;1;1
16.10.2000;46,1875;36,17021277;;28,52502559;-6,573957016;33,33;-70,72;-2,37;;;1;0;0;0;1;0
17.10.2000;46;34,22459893;;28,25557454;-7,421383648;30,39;-69,3;-2,31;;;1;0;0;0;1;1
18.10.2000;45,5;28,41530055;;24,33335187;-9,789343247;22,55;-79,19;-2,33;;;1;0;0;1;1;1
19.10.2000;46,875;36,2745098;;41,52620803;-6,947890819;44,55;-26,01;-2,08;;;1;0;0;0;1;0
20.10.2000;47,1875;38,7254902;59,48;47,04292945;-5,742821473;52,08;-10,35;-1,81;2;2;1;0;0;0;1;0
23.10.2000;47,875;45,68527919;66,2;56,82839593;-2,171136654;78,21;18,41;-1,46;2;2;0;0;0;0;0;0
24.10.2000;49,8125;56,01851852;72,87;81,15405276;3,372243839;133,33;97,14;-0,84;2;2;0;2;2;0;2;0
25.10.2000;49,75;55,14018692;67,34;80,26315146;2,842377261;98,91;94,05;-0,36;2;2;0;2;2;0;2;0
26.10.2000;48,125;54,88372093;62,38;61,78569976;2,803738318;70,65;34,1;-0,25;2;2;0;0;0;0;0;0
27.10.2000;49,25;62,67281106;66,56;78,98336661;7,503410641;90,22;90,31;0,02;2;2;2;0;2;0;2;0
30.10.2000;51,5625;76,54867257;74,88;105,9820492;17,0212766;130,43;197,03;0,62;2;2;2;2;2;2;2;2
31.10.2000;51,25;72,11538462;63,03;96,53581251;12,63736264;95,54;160,37;1,02;2;2;2;2;2;2;2;2
1.11.2000;50,875;75,37688442;59,27;88,05873817;14,1654979;90,18;124,33;1,26;2;2;2;2;2;2;2;2
2.11.2000;50;66,84210526;46,6;76,5472855;8,695652174;74,23;81,38;1,29;0;0;2;0;0;0;2;2
3.11.2000;48,125;57,14285714;37,55;55,16674099;4,194857916;43,3;13,47;1;1;1;0;0;0;0;2;0
6.11.2000;49,3125;61,37339056;41,75;66,49437189;7,201086957;62,89;48,76;0,95;1;1;2;0;0;0;2;0
7.11.2000;49,875;64,95726496;44,16;70,84805866;9,615384615;72,16;62,58;0,99;1;1;2;0;0;0;2;0
8.11.2000;49,125;58,03571429;36,31;60,1317989;4,8;48;28,77;0,89;1;1;0;0;0;0;2;0
9.11.2000;50,4375;60,83333333;41,29;74,70059324;6,887417219;74,29;74,28;1,01;1;1;2;0;0;0;2;0
10.11.2000;50,5;59,13043478;39,64;73,31269348;5,483028721;71,19;70,74;1,11;1;1;0;0;0;0;2;0
13.11.2000;51;54,58937198;35,74;77,81830612;2,383939774;83,64;88,28;1,25;1;1;0;0;2;0;0;0
