Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;49,75;;;;;;;;;;;;;;;
6.09.2000;50;;;;;;;;;;;;;;;
7.09.2000;51;;;;;;;;;;;;;;;
8.09.2000;52,125;;;;;;;;;;;;;;;
11.09.2000;54,375;;;;;;;;;;;;;;;
12.09.2000;54;;;;;;;;;;;;;;;
13.09.2000;53,875;;;;;;;;;;;;;;;
14.09.2000;52,5;;;;;;;;;;;;;;;
15.09.2000;52;;;;;;;;;;;;;;;
18.09.2000;51,125;;;;;;;;;;;;;;;
19.09.2000;49,875;;;;;;;;;;;;;;;
20.09.2000;48,5;;;;;;;;;;;;;;;
21.09.2000;50;;;;;;;;;;;;;;;
22.09.2000;50,5;;;;;;;;;;;;;;;
25.09.2000;49;47,32142857;;;-1,507537688;8,51;;;;;0;;1;0;0;0
26.09.2000;47,375;41,46341463;;;-5,25;-19,15;;;;;0;;1;0;1;0
27.09.2000;48,125;40,49586777;;;-5,637254902;10,71;;;;;0;;1;0;1;0
28.09.2000;48,5625;37,66233766;;;-6,834532374;16,96;;;;;1;;1;0;1;0
29.09.2000;48,125;25,24752475;;;-11,49425287;10,71;;;;;1;;1;1;1;1
2.10.2000;46,25;22,56637168;;4,970335214;-14,35185185;-16,98;-158;;;;1;1;1;1;1;1
3.10.2000;45,8125;22,07792208;;6,469754034;-14,96519722;-5,74;-152,53;;;;1;1;1;1;1;1
4.10.2000;46,125;26,1682243;;13,9533286;-12,14285714;4,67;-121,4;;;;1;1;1;1;1;1
5.10.2000;46,0625;27,0531401;;17,29433581;-11,41826923;4,04;-108,47;;;;1;1;1;1;1;1
6.10.2000;45,5;27,72277228;;16,3121872;-11,00244499;-5,88;-112,07;;;;1;1;1;1;1;1
9.10.2000;45,125;29,78723404;;15,83057244;-9,523809524;-7,5;-115,05;;;;1;1;1;1;1;1
10.10.2000;46,375;40,86021505;;29,0642822;-4,381443299;23,26;-69,84;-4,68;;;0;0;0;0;1;0
11.10.2000;45,3125;29,05027933;;19,89286195;-9,375;3,49;-100,05;-4,64;;;1;1;1;1;1;1
12.10.2000;44,125;23,15789474;;10,04884106;-12,62376238;-18,6;-132,98;-4,76;;;1;1;1;1;1;1
13.10.2000;45;32,22222222;;21,79517501;-8,163265306;17,95;-89,37;-4,65;;;1;0;1;0;1;1
16.10.2000;47,3125;49,7382199;;52,81633674;-0,131926121;71,83;6,4;-4,12;;;0;0;0;0;0;0
17.10.2000;46;41,5;;36,80480368;-4,415584416;42,25;-42,16;-3,88;;;0;0;0;0;1;0
18.10.2000;46,75;42,92682927;;48,84493506;-3,732303732;59,15;-5,52;-3,52;;;0;0;0;0;1;0
19.10.2000;47,8125;48,8372093;;67,55557941;-0,649350649;92,19;54,99;-3,01;;;0;0;2;0;0;0
20.10.2000;46,5625;51,2195122;59,99;50,58038533;0,675675676;66,1;-0,19;-2,8;2;2;0;0;0;0;0;0
23.10.2000;47,3125;55,71428571;59,67;68,38727336;3,274215553;86,44;57,69;-2,47;2;2;0;0;2;0;2;0
24.10.2000;48,375;58,10810811;58,11;88,12981232;4,87804878;115,25;128,48;-2;2;2;0;2;2;0;2;0
25.10.2000;45,9375;49,61538462;45,88;40,35992768;-0,271370421;42,65;-33,22;-2,03;0;0;0;0;0;0;0;0
26.10.2000;43,4375;44,32989691;39,7;-4,28756455;-4,532967033;-16,18;-211,97;-2,45;1;1;0;1;1;0;1;0
27.10.2000;43,25;44,79166667;40,5;-0,291767408;-4,155124654;-3,8;-203,57;-2,8;1;1;0;1;1;0;1;0
30.10.2000;43,75;42,39130435;39,19;13,90574789;-5,660377358;9,76;-134;-2,95;1;1;0;1;1;0;1;0
31.10.2000;45,375;50,1754386;47,93;43,4782154;0,137931034;41,46;-23,31;-2,76;0;0;0;0;0;0;0;0
1.11.2000;46,6875;57,14285714;53,99;66,33511193;5,807365439;67,07;51,22;-2,35;0;0;0;0;0;0;2;0
2.11.2000;48,4375;59,13621262;54,78;91,90586527;7,638888889;101,22;141,87;-1,7;0;0;0;2;2;0;2;0
3.11.2000;47,375;50,17793594;44,99;72,51878397;0,132100396;79,52;70,66;-1,35;1;1;0;0;0;0;0;0
6.11.2000;49;58,39160839;52,85;92,40311097;6,52173913;110,84;142,82;-0,79;0;0;0;2;2;0;2;0
7.11.2000;48,9375;56,36363636;49,02;87,23916231;4,679144385;98,91;120,91;-0,35;0;0;0;2;2;0;2;0
8.11.2000;48,75;52,87356322;45,53;81,16040772;1,960784314;95,65;99,54;-0,03;0;0;0;2;2;0;0;0
9.11.2000;47,125;51,68539326;45,77;57,28108843;1,208053691;67,39;21,42;-0,06;0;0;0;0;0;0;0;0
10.11.2000;43,6875;40,64516129;37,81;11,12644957;-7,661822985;7,61;-141,87;-0,67;1;1;0;1;1;0;1;0
13.11.2000;45,3125;42,31974922;41,58;34,69187938;-6,330749354;35,87;-51,76;-0,86;1;1;0;0;0;0;1;0
14.11.2000;46,875;52,45901639;52,11;55,20272919;2,040816327;63,04;14,36;-0,74;0;0;0;0;0;0;0;0
15.11.2000;49;64,88294314;62,84;81,11331294;12,8057554;100;99,66;-0,27;2;2;2;2;2;0;2;0
16.11.2000;48,25;62,98701299;58,65;70,93723655;11,56069364;86,96;64,91;-0,02;2;2;2;0;2;0;2;0
17.11.2000;48,5625;62,62295082;56,56;73,16180554;11;91,76;70,91;0,22;2;2;2;0;2;0;2;0
20.11.2000;47,875;56,89655172;49,17;64,08231972;5,509641873;78,82;41,24;0,29;0;0;0;0;0;0;2;0
21.11.2000;47,125;51,2455516;43,1;55,56432926;0,93708166;64,71;15,06;0,21;1;1;0;0;0;0;0;0
22.11.2000;45,875;42,49084249;36,36;39,73024263;-5,290322581;41,18;-34,11;-0,06;1;1;0;0;0;0;1;0
24.11.2000;45,1875;43,44569288;39,19;28,59358802;-4,617414248;28,24;-71,63;-0,39;1;1;0;0;0;0;1;0
27.11.2000;49,3125;50,81433225;48,58;82,19454853;0,637755102;105,88;103,94;0,06;0;0;0;2;2;0;0;0
28.11.2000;49;50,1607717;49,28;75,98973206;0,127713921;94,44;81,87;0,35;0;0;0;0;2;0;0;0
29.11.2000;51,875;57,06214689;56,29;108,3988218;6,41025641;145,56;216,25;1,05;2;2;0;2;2;0;2;0
30.11.2000;52,1875;62,16216216;59,52;102,2326903;10,74270557;103,82;196,03;1,64;2;2;2;2;2;0;2;0
1.12.2000;51,1875;70,40816327;63,13;86,19317746;17,16738197;88,24;127,3;1,9;2;2;2;2;2;2;2;2
4.12.2000;53,8125;71,93548387;62,83;104,6782648;18,75862069;123,21;209,08;2,51;2;2;2;2;2;2;2;2
5.12.2000;55,25;71,75324675;59,57;106,5584716;17,86666667;116,67;222,84;3,17;2;2;2;2;2;2;2;2
6.12.2000;54,8125;66,5480427;49,63;95,70081603;11,8622449;95,65;168,68;3,57;0;0;2;2;2;0;2;2
7.12.2000;55;69,85294118;50,5;91,43952321;13,98963731;97,52;143;3,87;0;0;2;2;2;0;2;2
8.12.2000;54,4375;67,02898551;46,81;83,46899222;12,0978121;91,93;107,45;3,96;0;0;2;2;2;0;2;2
11.12.2000;51,375;58,91719745;42,32;60,1520986;7,310704961;61,49;28,32;3,52;1;1;0;0;0;0;2;0
12.12.2000;51,875;62,25806452;46,54;62,05769351;10,0795756;66,46;34,05;3,2;0;0;2;0;0;0;2;0
13.12.2000;50,3125;61,26984127;46,12;48,13451478;9,673024523;50,93;-7,53;2,68;0;0;2;0;0;0;2;0
14.12.2000;51,0625;64,87341772;48,56;53,5048486;13,00138313;58,39;8,78;2,36;0;0;2;0;0;0;2;0
15.12.2000;49,875;51,67286245;33,58;42,81113601;1,140684411;14;-24,89;1,9;1;1;0;0;1;0;0;0
18.12.2000;50,5625;54,54545455;37,96;47,73996003;3,18877551;25;-9,38;1,62;1;1;0;0;0;0;0;0
19.12.2000;48;38,51851852;25,53;25,60245809;-7,469879518;-34,88;-86,73;0,98;1;1;1;0;1;0;1;0
20.12.2000;48,9375;40,71428571;33,2;32,29717309;-6,22754491;12,93;-62,83;0,62;1;1;0;0;1;0;1;0
21.12.2000;51,75;51,45631068;47,07;55,15552877;1,098901099;51,72;15,13;0,77;0;0;0;0;0;0;0;0
22.12.2000;52,5;46,23655914;45,63;60,58657478;-2,43902439;62,07;32,4;0,99;0;0;0;0;0;0;0;0
26.12.2000;50,625;37,06293706;42,02;37,365652;-8,371040724;36,21;-44,15;0,87;1;1;1;0;0;0;1;0
27.12.2000;52,5625;44,19354839;51,04;59,03832818;-4,104903079;65,18;28,04;1,06;0;0;0;0;0;0;1;0
28.12.2000;52,9375;44,7284345;53,77;63,03506739;-3,75;70,54;40,61;1,25;0;0;0;0;0;0;1;0
29.12.2000;53,125;46,57980456;57,31;64,68961386;-2,411021814;79,61;45,13;1,42;2;2;0;0;0;0;0;0
2.01.2001;53,875;57,40740741;68,26;72,03832651;4,866180049;114,63;68,67;1,65;2;2;0;0;2;0;2;0
3.01.2001;58,4375;65,67164179;72,57;112,7413947;12,65060241;177,66;239,07;2,5;2;2;2;2;2;0;2;2
4.01.2001;56,1875;63,58381503;65,43;88,25496832;11,67701863;78,44;134,6;2,78;2;2;2;2;0;0;2;0
5.01.2001;53,9375;56,21621622;56,26;66,49805165;5,630354957;56,89;53,74;2,63;2;2;0;0;0;0;2;0
8.01.2001;53,9375;59,25925926;56,83;67,35484368;8,145363409;56,89;57,3;2,49;2;2;0;0;0;0;2;0
9.01.2001;52,75;54,87465181;51,44;56,09390473;4,326328801;45,51;18,6;2,17;0;0;0;0;0;0;0;0
10.01.2001;51,6875;58,80597015;53,38;44,74950089;7,682291667;35,33;-20,26;1,73;0;0;0;0;0;0;2;0
11.01.2001;51,9375;57,40740741;50,42;47,34907631;6,130268199;31,58;-11,25;1,41;0;0;0;0;0;0;2;0
12.01.2001;52,9375;53,22033898;44,87;56,60023557;2,29468599;29,6;21,06;1,29;1;1;0;0;0;0;0;0
16.01.2001;54,6875;55,62700965;45,78;73,09914832;4,166666667;52;82,92;1,45;0;0;0;0;0;0;2;0
17.01.2001;53,9375;59,0443686;47,54;63,39120416;6,543209877;42,4;47,05;1,44;0;0;0;0;0;0;2;0
18.01.2001;53,0625;51,44927536;39,31;52,55906308;0,951248514;20,37;7,17;1,29;1;1;0;0;0;0;0;0
19.01.2001;50,8125;44,44444444;35,76;22,88369232;-4,014167651;-12,96;-108,39;0,81;1;1;0;0;1;0;1;0
22.01.2001;52,5625;48,64048338;42,86;41,42818537;-1,058823529;22,95;-33,54;0,7;1;1;0;0;0;0;0;0
23.01.2001;53,375;48,79518072;44,08;51,8146743;-0,928074246;33,61;4,3;0,72;1;1;0;0;0;0;0;0
24.01.2001;53,5;34,86590038;34,55;52,91036642;-8,449197861;35,25;8,46;0,75;1;1;1;0;0;0;1;1
25.01.2001;54;42,48927039;44,63;58,23340034;-3,893214683;59,3;29,11;0,84;1;1;0;0;0;0;1;0
26.01.2001;53,625;48,76847291;53,19;51,57466697;-0,579374276;72,58;3,58;0,84;0;0;0;0;0;0;0;0
29.01.2001;54,200001;50,98963612;57,38;59,62929522;0,486676246;87,42;35,34;0,92;2;2;0;0;2;0;0;0
30.01.2001;53,77;54,078368;62,61;52,36061017;1,933649289;76,32;6,7;0,91;2;2;0;0;0;0;0;0
31.01.2001;56,799999;67,6628041;73,53;93,88980174;9,891170979;154,52;184,97;1,33;2;2;2;2;2;0;2;2
1.02.2001;55,700001;62,27770026;63,47;86,01634592;7,244285921;81,63;136,07;1,49;2;2;2;2;2;0;2;0
2.02.2001;54,759998;55,97050864;55,1;72,3476118;3,442735301;65,93;79,78;1,45;2;2;0;0;0;0;2;0
5.02.2001;53,84;47,06391824;46,96;55,24187124;-1,549714286;50,56;16,21;1,28;0;0;0;0;0;0;0;0
6.02.2001;53,200001;47,42538296;47,39;43,95737764;-1,367321437;39,87;-23,67;1,03;0;0;0;0;0;0;0;0
7.02.2001;54,66;55,35804197;54,2;69,38314053;3,010600707;64,26;68,43;1,03;0;0;0;0;0;0;2;0
8.02.2001;52,299999;54,95255235;52,36;24,11575187;2,927427306;24,84;-99,64;0,68;0;0;0;0;0;0;0;0
9.02.2001;50,400002;42,87127552;41,08;-4,800145884;-4,114146017;-42,22;-235,93;0,11;1;1;0;1;1;0;1;0
12.02.2001;53,450001;50,21545826;48,82;47,47516113;0,140517096;47,66;-11,61;0,12;0;0;0;0;0;0;0;0
13.02.2001;54,099998;51,67316862;49,69;59,38457538;1,121491589;57,81;33,06;0,22;0;0;0;0;0;0;0;0
14.02.2001;53;47,30167151;44,93;40,89242276;-1,851851852;40,62;-36,66;0,13;1;1;0;0;0;0;0;0
15.02.2001;52;45,75828544;44,03;24,96502397;-3,03030303;25;-98,76;-0,09;1;1;0;0;0;0;0;0
16.02.2001;52,360001;45,14255287;45,01;28,09516001;-3,394833886;30,62;-85,57;-0,21;0;0;0;0;0;0;0;0
20.02.2001;53,400002;49,05371307;49,37;46,47793135;-0,68811233;46,88;-15,4;-0,14;0;0;0;0;0;0;0;0
21.02.2001;50,209999;33,28259258;36,4;-2,471104383;-11,60211288;-2,97;-226,08;-0,57;1;1;1;1;1;0;1;1
22.02.2001;49,700001;34,30961851;41,09;-0,640425968;-10,77199263;-9,29;-208,86;-0,98;1;1;1;1;1;0;1;1
23.02.2001;50,279999;38,05969716;48,13;12,75447229;-8,1811526;11,46;-139,86;-1,2;0;0;1;1;1;0;1;0
26.02.2001;51,07;42,56575097;54,29;25,7725145;-5,1448737;27,62;-84,14;-1,24;0;0;0;0;0;0;1;0
27.02.2001;50,990002;43,88489181;56,68;27,13516895;-4,154133381;26,01;-77,24;-1,27;2;2;0;0;0;0;1;0
28.02.2001;50,09;36,95030963;51,28;19,06187384;-8,360775704;7,86;-103,69;-1,42;0;0;1;1;1;0;1;0
1.03.2001;48,34;38,28402177;53,07;1,576321817;-7,571699954;-30,91;-167,66;-1,8;0;0;1;1;1;0;1;0
2.03.2001;48,919998;45,25030626;59,61;12,27319934;-2,936515756;10,07;-123,93;-1,98;2;2;0;1;1;0;0;0
