Date;AAPL;AMGN;AXP;BA;CAT;CSCO;CVX;DIS;GS;HD;HON;IBM;INTC;JNJ;JPM;KO;MCD;MMM;MRK;MSFT;NKE;PG;TRV;UNH;VZ;WBA;WMT
20.10.2000;0.348214;68.75;49.071507;60;15.34375;57.3125;41.71875;35.883938;104.9375;39.4375;43.855;94.75;43.0625;45.9375;38.375;27.40625;28.25;43.625;81.875;32.59375;4.632813;36.4375;47.1875;13.164063;43.560947;39.3125;46.5625
23.10.2000;0.363839;70.9375;47.594437;61.25;15.71875;55.875;41.28125;35.698967;102.4375;40.5625;47.608891;92.875;43.3125;45.78125;38.375;27.65625;29.125;44.90625;84.75;31.0625;4.546875;34.78125;47.875;13.070313;44.685101;40.4375;47.3125
24.10.2000;0.337054;71.375;50.001511;61;15.9375;54.875;41.125;35.698967;101.125;39.25;50.826511;91.4375;42;45.84375;40.0625;28.0625;29.125;45.03125;85.4375;30.75;4.632813;36.8125;49.8125;13.328125;45.134762;42;48.375
25.10.2000;0.330357;68.625;50.220337;62.5625;15.65625;50.625;40.75;34.342533;96.1875;38.375;49.813557;87.5625;41.3125;46.96875;40;28.96875;29;45.0625;87.3125;30.625;4.671875;37.46875;49.75;13.0625;44.853722;40.25;45.9375
26.10.2000;0.330357;68.5;47.649143;63.0625;15.90625;53.5625;41;34.650814;92.9375;38.9375;49.753971;92.75;44.6875;46.5625;40;29.34375;28.9375;46.09375;86.6875;32.21875;4.898438;37.46875;48.125;13.429688;45.865459;41.75;43.4375
27.10.2000;0.331473;59.3125;48.85268;63.75;16.4375;50.6875;40.15625;33.849281;93;39.375;49.09853;93.6875;46.375;46.375;42.6875;29.46875;29.75;46.75;88;33.84375;4.789063;38.46875;49.25;13.710938;47.720314;43.125;43.25
30.10.2000;0.344866;54.125;51.150345;64.6875;17.46875;48.0625;40.8125;34.404186;96.5;40.9375;51.24361;93.3125;45;47.1875;43.75;29.9375;31.1875;47.5;88.6875;34.53125;4.867188;38.4375;51.5625;14.5;49.799999;44.375;43.75
31.10.2000;0.34933;57.9375;52.518002;67.8125;17.53125;53.875;41.0625;35.329033;99.8125;43;51.303196;98.5;45;46.0625;45.5;30.1875;31;48.3125;89.9375;34.4375;4.992188;35.71875;51.25;13.671875;51.992096;45.625;45.375
1.11.2000;0.366071;60.359375;51.095638;65.75;17.375;52.125;41.40625;36.130562;96.6875;44.0625;51.005268;98.5625;44.875;45.5;45.6875;30.4375;31.625;47.5625;89.75;34.8125;4.984375;34.5;50.875;13.265625;50.137245;43.9375;46.6875
2.11.2000;0.398438;61.4375;50.439163;66.125;17.40625;55.75;40.25;36.808781;99.25;42.75;49.694386;101.9375;46.6875;44.9375;45.5;30.375;31.9375;47.46875;89.125;35.15625;5.304688;33.96875;50;13.03125;51.93589;44.1875;48.4375
3.11.2000;0.397321;59.8125;52.189762;66.0625;17.40625;56.75;40.53125;37.548656;100.4375;41.25;49.217701;100.125;45.9375;45.84375;44.4375;29.65625;32.375;47.4375;87.875;34.125;5.171875;34.125;48.125;13.265625;51.261398;44;47.375
6.11.2000;0.382813;59.875;53.065063;66.0625;18.09375;55.125;41.28125;36.808781;96.0625;41.3125;50.409412;100.3125;46.5625;46.03125;45.5;30.25;32;48.6875;90;34.75;5.335938;34.25;49.3125;13.632813;49.96862;43.9375;49
7.11.2000;0.38058;61.8125;53.338593;65.1875;18.0625;56.75;41.03125;36.623814;93.75;41.375;51.720295;102.3125;46.1875;46.0625;44.9375;30.03125;31.75;48.46875;86.875;35.25;5.375;34.21875;49.875;13.59375;49.406544;43.25;48.9375
8.11.2000;0.358259;61.625;50.767399;65;18.21875;52.125;41.5;36.377186;92.4375;41.25;51.005268;100;42.6875;46.71875;43.5625;30.09375;31.625;48.65625;90.8125;34.71875;5.5625;34.71875;49.125;13.8125;49.518959;42.875;48.75
9.11.2000;0.360491;62.75;50.986225;65.6875;18.28125;53.25;41.6875;30.704813;91.875;38.8125;51.184025;99.4375;41.375;46.78125;44.125;31.15625;31.75;48.6875;90.4375;35.4375;5.453125;34.75;50.4375;14.203125;50.362076;43.0625;47.125
10.11.2000;0.340402;64.5625;49.946808;63.5;17.875;50.0625;42.0625;31.259718;89.1875;36.25;50.886097;93;37;47.21875;42.8125;30.9375;33.0625;47.5;91.5;33.6875;5.195313;35.8125;50.5;14.125;50.755527;42.875;43.6875
13.11.2000;0.345982;62.625;48.907387;62.8125;18.09375;50.375;41.5625;30.026594;86.375;37.375;48.264332;97.4375;38.1875;46.53125;42.125;30.53125;33.0625;47.40625;89.375;33.21875;5.171875;36.125;51;13.742188;51.205189;42.9375;45.3125
14.11.2000;0.361607;64.125;50.16563;64.375;18.03125;53.125;42.125;30.519844;88.875;39.1875;49.456043;99.5;40.9375;47.3125;42.5625;30.28125;33.4375;47.5;91.0625;34.40625;5.21875;36.21875;52.8125;14.164063;50.137245;42.875;46.875
15.11.2000;0.354911;67.375;50.49387;63.5625;18.34375;53.5625;41.96875;31.383032;90.0625;39.625;49.217701;99.375;41.5;47.5;40.75;30.65625;33.3125;47.6875;91.625;35.03125;5.265625;36.6875;51.875;14.367188;48.732052;42.3125;49
