Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;131,1875;;;;;;;;;;;;;;;
6.09.2000;131,4375;;;;;;;;;;;;;;;
7.09.2000;133,375;;;;;;;;;;;;;;;
8.09.2000;129,5;;;;;;;;;;;;;;;
11.09.2000;124,5;;;;;;;;;;;;;;;
12.09.2000;125;;;;;;;;;;;;;;;
13.09.2000;127,6875;;;;;;;;;;;;;;;
14.09.2000;126,875;;;;;;;;;;;;;;;
15.09.2000;125;;;;;;;;;;;;;;;
18.09.2000;123,25;;;;;;;;;;;;;;;
19.09.2000;124,9375;;;;;;;;;;;;;;;
20.09.2000;124,75;;;;;;;;;;;;;;;
21.09.2000;121,5;;;;;;;;;;;;;;;
22.09.2000;123,875;;;;;;;;;;;;;;;
25.09.2000;123;34,87297921;;;-6,241067175;12,63;;;;;1;;1;0;1;1
26.09.2000;119,125;29,9389002;;;-9,367570138;-20;;;;;1;;1;1;1;1
27.09.2000;118;24,26778243;;;-11,52764761;-7,89;;;;;1;;1;1;1;1
28.09.2000;115,25;25,2173913;;;-11,003861;-23,91;;;;;1;;1;1;1;1
29.09.2000;112,625;27,48815166;;;-9,53815261;-21,11;;;;;1;;1;1;1;1
2.10.2000;117,8125;38,4305835;;22,15029844;-5,75;34,44;-103,59;;;;1;0;0;0;1;0
3.10.2000;110,5625;25,96491228;;-2,083233102;-13,41164953;-13,69;-206,45;;;;1;1;1;1;1;1
4.10.2000;114,375;33,81877023;;17,48399755;-9,852216749;23,37;-114,91;;;;1;1;0;0;1;1
5.10.2000;113,1875;34,43163097;;14,73166061;-9,45;18,18;-117,23;;;;1;1;1;0;1;1
6.10.2000;116;40,70512821;;29,65872547;-5,882352941;37,83;-63,09;;;;0;0;0;0;1;0
9.10.2000;117,9375;41,08280255;;40,41770361;-5,602801401;51,3;-29,96;;;;0;0;0;0;1;0
10.10.2000;114,875;38,27893175;;27,90442714;-7,915831663;30,4;-68,76;-3,97;;;1;0;0;0;1;0
11.10.2000;112;38,62275449;;16,95889695;-7,818930041;10,8;-105,78;-4,03;;;1;1;1;0;1;0
12.10.2000;103,125;28,49740933;;-12,4042376;-16,75075681;-55,87;-235,1;-4,64;;;1;1;1;1;1;1
13.10.2000;109,0625;36,92848769;;17,11799065;-11,33130081;29,87;-114,72;-4,66;;;1;1;0;0;1;0
16.10.2000;111,125;42,23300971;;28,4295586;-6,715634837;50;-73,85;-4,49;;;0;0;0;0;1;0
17.10.2000;113;45,215311;;38,60440186;-4,237288136;66,39;-39,77;-4,17;;;0;0;0;0;0;0
18.10.2000;95,4375;35,22833178;;-20,90812096;-17,19088937;-51,9;-320,91;-5,13;;;1;1;1;0;1;0
19.10.2000;96,4375;37,6313276;;-5,131369624;-14,37291898;4,44;-240,42;-5,77;;;1;1;1;0;1;0
20.10.2000;94,75;31,38244198;42,76;-1,990721601;-19,57559682;-3,06;-219,17;-6,36;1;1;1;1;1;0;1;1
23.10.2000;92,875;34,36464088;47,73;0,107244618;-15,99773884;-8,09;-194,86;-6,91;0;0;1;1;1;0;1;1
24.10.2000;91,4375;28,83506344;43,97;3,50966195;-20,05464481;-5,74;-167,06;-7,4;1;1;1;1;1;1;1;1
25.10.2000;87,5625;27,47252747;43,73;1,453254967;-22,63942573;-14,62;-166,35;-8,03;1;1;1;1;1;1;1;1
26.10.2000;92,75;30,37974684;48,1;18,3603992;-20,04310345;17,08;-98,6;-8,05;0;0;1;1;1;0;1;1
27.10.2000;93,6875;29,18454936;48,63;23,56607852;-20,56173821;20,16;-79,3;-7,91;0;0;1;0;0;1;1;1
30.10.2000;93,3125;30,59617548;51,59;25,2358387;-18,77040261;21,05;-72,99;-7,74;0;0;1;0;0;0;1;1
31.10.2000;98,5;38,33693305;58,63;39,35441435;-12,05357143;43;-31,56;-7,11;2;2;1;0;0;0;1;0
1.11.2000;98,5625;45,35031847;66,68;41,17207212;-4,424242424;43,24;-26,76;-6,53;2;2;0;0;0;0;0;0
2.11.2000;101,9375;42,33870968;63,28;51,21766843;-6,532951289;56,51;1,66;-5,73;2;2;0;0;0;0;1;0
