Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;69,25;;;;;;;;;;;;;;;
6.09.2000;65,703125;;;;;;;;;;;;;;;
7.09.2000;67,4375;;;;;;;;;;;;;;;
8.09.2000;65,375;;;;;;;;;;;;;;;
11.09.2000;64,6875;;;;;;;;;;;;;;;
12.09.2000;64,9375;;;;;;;;;;;;;;;
13.09.2000;61,25;;;;;;;;;;;;;;;
14.09.2000;59,625;;;;;;;;;;;;;;;
15.09.2000;57,515625;;;;;;;;;;;;;;;
18.09.2000;55,8125;;;;;;;;;;;;;;;
19.09.2000;60,375;;;;;;;;;;;;;;;
20.09.2000;63,0625;;;;;;;;;;;;;;;
21.09.2000;61,484375;;;;;;;;;;;;;;;
22.09.2000;47,9375;;;;;;;;;;;;;;;
25.09.2000;45,375;21,80811808;;;-34,4765343;-12,02;;;;;1;;1;1;1;1
26.09.2000;43,3125;22,60038241;;;-34,078478;-9,35;;;;;1;;1;1;1;1
27.09.2000;43,875;20,31496063;;;-34,93975904;2,33;;;;;1;;1;1;1;1
28.09.2000;44,4375;22,58592471;;;-32,02676864;5,1;;;;;1;;1;1;1;1
29.09.2000;41,5625;21,3622291;;;-35,74879227;-8,09;;;;;1;;1;1;1;1
2.10.2000;40,125;20,15037594;;9,672849376;-38,20981713;-6,15;-132,39;;;;1;1;1;1;1;1
3.10.2000;40,3125;22,49589491;;14,21608805;-34,18367347;0,82;-111,68;;;;1;1;1;1;1;1
4.10.2000;42;26,8852459;;21,57982618;-29,55974843;8,17;-84,76;;;;1;0;1;1;1;1
5.10.2000;41;27,69100886;;21,84807094;-28,71502309;3,81;-82,31;;;;1;0;1;1;1;1
6.10.2000;39,9375;28,17869416;;21,95193188;-28,44344905;-0,82;-81,76;;;;1;0;1;1;1;1
9.10.2000;39,0625;17,39961759;;22,36279392;-35,30020704;-3,78;-81,37;;;;1;0;1;1;1;1
10.10.2000;37,5625;9,523809524;;20,9024378;-40,43607532;-6,25;-87,93;-17,71;;;1;0;1;1;1;1
11.10.2000;35,375;9,343065693;;18,05948442;-42,46505718;-9,14;-101,27;-18,01;;;1;1;1;1;1;1
12.10.2000;37,125;23,38461538;;25,39985392;-22,55541069;13,93;-81,08;-17,79;;;1;0;1;1;1;1
13.10.2000;40,375;38,0952381;;36,67622379;-11,01928375;50;-46,88;-16,85;;;1;0;0;0;1;0
16.10.2000;35,6875;33,86243386;;25,09043718;-17,6046176;3,45;-93,91;-16,82;;;1;0;1;0;1;1
17.10.2000;36,1875;33,68700265;;28,18157998;-17,52136752;8,97;-87,99;-16,55;;;1;0;1;0;1;1
18.10.2000;38,1875;37,5;;35,89526223;-14,06469761;31,03;-58,5;-15,79;;;1;0;0;0;1;0
19.10.2000;41,9375;50,72463768;;60,93310603;0,902255639;99,06;33,96;-14,3;;;0;0;2;0;0;0
20.10.2000;43,0625;55,74572127;67,74;74,07852043;7,320872274;116,04;77,47;-12,75;2;2;0;0;2;0;2;0
23.10.2000;43,3125;55,85365854;61,5;78,54917824;7,441860465;103,25;91,69;-11,33;2;2;0;0;2;0;2;0
24.10.2000;42;50;47,93;67,66306171;0;83,46;54,7;-10,35;0;0;0;0;2;0;0;0
25.10.2000;41,3125;50,62656642;44,78;63,06931391;0,762195122;74,8;39,57;-9,58;1;1;0;0;0;0;0;0
26.10.2000;44,6875;58,71559633;50,61;95,22013013;11,89358372;117,32;151,82;-8,24;0;0;0;2;2;0;2;0
