Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;57,125;;;;;;;;;;;;;;;
6.09.2000;56;;;;;;;;;;;;;;;
7.09.2000;57,25;;;;;;;;;;;;;;;
8.09.2000;57,8125;;;;;;;;;;;;;;;
11.09.2000;57,5;;;;;;;;;;;;;;;
12.09.2000;52,8125;;;;;;;;;;;;;;;
13.09.2000;50,6875;;;;;;;;;;;;;;;
14.09.2000;50;;;;;;;;;;;;;;;
15.09.2000;49,125;;;;;;;;;;;;;;;
18.09.2000;46,5625;;;;;;;;;;;;;;;
19.09.2000;46,875;;;;;;;;;;;;;;;
20.09.2000;46,5;;;;;;;;;;;;;;;
21.09.2000;44,625;;;;;;;;;;;;;;;
22.09.2000;47,25;;;;;;;;;;;;;;;
25.09.2000;47;24,20382166;;;-17,72428884;18,01;;;;;1;;1;1;1;1
26.09.2000;46,0625;24,43729904;;;-17,74553571;10,9;;;;;1;;1;1;1;1
27.09.2000;45,5;18,66666667;;;-20,52401747;6,64;;;;;1;;1;1;1;1
28.09.2000;46,875;22,04472843;;;-18,91891892;17,06;;;;;1;;1;1;1;1
29.09.2000;46,1875;21,63009404;;;-19,67391304;12,14;;;;;1;;1;1;1;1
2.10.2000;47,5;33,96226415;;37,24020802;-10,0591716;35,11;-40,46;;;;1;0;0;0;1;1
3.10.2000;46,75;37,03703704;;35,07843761;-7,768187423;35,05;-48,79;;;;1;0;0;0;1;0
4.10.2000;45,5625;35,85657371;;30,27980027;-8,875;17,44;-67,55;;;;1;0;1;0;1;0
5.10.2000;44,4375;35,29411765;;25,0186176;-9,541984733;-4,17;-90,04;;;;1;0;1;0;1;0
6.10.2000;42,875;37,65690377;;14,40115201;-7,919463087;-51,02;-139,02;;;;1;1;1;0;1;0
9.10.2000;42,0625;34,41295547;;3,301838655;-10,26666667;-17,57;-194,35;;;;1;1;1;0;1;1
10.10.2000;40,8125;32,56704981;;-5,234958303;-12,2311828;-22,99;-237,94;-7,34;;;1;1;1;0;1;1
11.10.2000;40,6875;36,4806867;;-0,302153937;-8,823529412;-1,87;-202,04;-7,59;;;1;1;1;0;1;0
12.10.2000;37,8125;18,14345992;;-14,27288704;-19,97354497;-42,2;-268,09;-8,24;;;1;1;1;1;1;1
13.10.2000;39,6875;27,75665399;;7,848795547;-15,55851064;19,35;-150,75;-8,34;;;1;1;1;1;1;1
16.10.2000;39,5625;29,2;;12,03223092;-14,11126187;18,06;-128,76;-8,36;;;1;1;1;1;1;1
17.10.2000;37,9375;27,34082397;;5,761698792;-16,62087912;1,29;-147,27;-8,6;;;1;1;1;1;1;1
18.10.2000;36,875;19,46564885;;5,080397103;-21,33333333;-9,68;-147;-8,92;;;1;1;1;1;1;1
19.10.2000;38,9375;29,57746479;;22,60734801;-15,69688769;19,41;-83,95;-8,68;;;1;0;1;1;1;1
20.10.2000;38,375;23,16176471;41,22;21,77615577;-19,21052632;14,12;-86,39;-8,52;1;1;1;0;1;1;1;1
23.10.2000;38,375;24,23076923;45,03;24,45098039;-17,9144385;15,19;-77,82;-8,31;0;0;1;0;1;1;1;1
24.10.2000;40,0625;33,58208955;54,44;37,9354863;-12,07133059;36,69;-37,22;-7,72;0;0;1;0;0;0;1;1
25.10.2000;40;35,85657371;58,43;39,17289047;-9,985935302;41,32;-34,21;-7,18;2;2;1;0;0;0;1;0
26.10.2000;40;39,82300885;64,2;41,07792182;-6,705539359;52,08;-29,44;-6,68;2;2;1;0;0;0;1;0
27.10.2000;42,6875;51,953125;72,74;64,2341915;1,485884101;112,05;44,31;-5,68;2;2;0;0;2;0;0;0
30.10.2000;43,75;59,28853755;76,37;77,40762651;7,19754977;118,28;90,47;-4,63;2;2;0;0;2;0;2;0
31.10.2000;45,5;63,79928315;76,12;96,3972282;11,82795699;125,45;161,3;-3,41;2;2;2;2;2;0;2;0
1.11.2000;45,6875;76,69491525;80,09;97,94046535;20,82644628;102,17;167,85;-2,4;2;2;2;2;2;2;2;2
2.11.2000;45,5;72,24880383;65,93;94,15889555;14,64566929;97,87;153,54;-1,61;2;2;2;2;2;2;2;2
3.11.2000;44,4375;67,41071429;54,4;82,48691523;12,32227488;85,82;106,95;-1,18;0;0;2;2;2;0;2;2
6.11.2000;45,5;78,13953488;57,99;88,24140119;19,93410214;97,87;124,74;-0,63;2;2;2;2;2;2;2;2
7.11.2000;44,9375;81,15942029;52,83;80,45162952;21,86440678;91,49;91,07;-0,3;0;0;2;2;2;2;2;2
8.11.2000;43,5625;68,87755102;35,03;67,75070957;11,87800963;70,94;48,95;-0,29;1;1;2;0;0;0;2;2
9.11.2000;44,125;73,46938776;37,58;70,1990119;14,98371336;78,63;55,74;-0,18;1;0;2;0;0;2;2;2
10.11.2000;42,8125;66,359447;32,47;58,05522201;11,56351792;60,68;20,8;-0,33;1;1;2;0;0;0;2;2
13.11.2000;42,125;58,20895522;22,09;51,2029615;5,148205928;37,36;1,61;-0,56;1;1;0;0;0;0;2;0
14.11.2000;42,5625;59,90338164;26,72;53,10440718;6,40625;45,05;7,34;-0,67;1;1;0;0;0;0;2;0
15.11.2000;40,75;52,54237288;25,29;33,21649089;1,875;13,19;-54,47;-1,07;1;1;0;0;1;0;0;0
16.11.2000;40,875;42,56410256;18,6;32,72703741;-4,245973646;2,53;-56,52;-1,36;1;1;0;0;1;0;1;0
17.11.2000;39,625;33,33333333;18,31;17,56666783;-9,428571429;-22,78;-107,49;-1,81;1;1;1;1;1;0;1;1
20.11.2000;38,5625;20,32085561;17,18;5,472651116;-15,24725275;-17,53;-150,76;-2,35;1;1;1;1;1;1;1;1
21.11.2000;38,6875;19,89247312;26,11;9,413173829;-15,32147743;1,75;-137,74;-2,73;1;1;1;1;1;1;1;1
22.11.2000;37,4375;18,22660099;29,32;1,741007223;-17,71978022;-16,22;-170,81;-3,25;1;1;1;1;1;1;1;1
24.11.2000;39,125;30,04694836;49,19;19,21888213;-11,95499297;20,93;-103,8;-3,29;0;0;1;1;0;0;1;1
27.11.2000;39,375;25,5;51,95;24,03624018;-13,46153846;24,03;-82,69;-3,24;0;0;1;0;0;1;1;1
28.11.2000;38;23,94366197;54,13;15,66074733;-15,43810848;7,5;-109,28;-3,44;0;0;1;1;1;1;1;1
29.11.2000;37,9375;26,5625;64,29;18,52937295;-12,91248207;7,48;-98,12;-3,58;2;0;1;1;1;1;1;1
30.11.2000;36,875;21;59,33;13,21608396;-16,4305949;-8,41;-116,06;-3,86;2;0;1;1;1;1;1;1
1.12.2000;37,3125;26,34408602;69,62;19,88862263;-12,84671533;7,37;-95,08;-3,96;2;0;1;1;1;1;1;1
4.12.2000;37,9375;31,89189189;75,05;27,81596581;-9,940652819;18,68;-69,73;-3,87;2;0;1;0;1;0;1;1
5.12.2000;41,3125;45,68965517;78,92;62,04891984;-2,936857562;78,02;34,22;-3,06;2;2;0;0;0;0;0;0
6.12.2000;40,0625;47,53363229;74,66;51,8938616;-1,687116564;71,83;3,74;-2,65;2;2;0;0;0;0;0;0
7.12.2000;39,1875;44,25531915;67,17;43,8699551;-4,128440367;52,11;-20,97;-2,47;2;2;0;0;0;0;1;0
8.12.2000;40;51,31578947;69,34;57,39847606;0,94637224;70,42;21,2;-2,14;2;2;0;0;0;0;0;0
11.12.2000;42,5;62,5498008;72,39;94,14647739;10,21069692;126,76;151,49;-1,35;2;2;2;2;2;0;2;0
12.12.2000;43;63,42412451;68,17;98,62604203;11,14701131;108,89;171,9;-0,63;2;2;2;2;2;0;2;0
13.12.2000;44,5;71,64750958;68,95;111,2288942;18,86477462;124,49;237,21;0,24;2;2;2;2;2;2;2;2
14.12.2000;42,875;61,53846154;52,27;87,52738128;9,584664537;78,69;130,58;0,59;0;0;2;2;0;0;2;0
15.12.2000;43,9375;63,36996337;50,16;94,48746669;11,58730159;92,62;155,96;1,06;0;0;2;2;2;0;2;0
18.12.2000;45,375;71,53284672;54,56;100,5907204;19,40789474;111,48;174,65;1,68;0;0;2;2;2;2;2;2
19.12.2000;44,8125;69,5035461;48,77;89,7321347;18,12191104;93,38;126,69;2,04;0;0;2;2;2;0;2;2
20.12.2000;43,5;68,53146853;45,36;75,24524198;17,96610169;77,94;74,21;2,05;0;0;2;0;0;0;2;2
21.12.2000;45,1875;70,58823529;47,01;86,23138271;21,10552764;97,67;109,23;2,34;0;0;2;2;2;2;2;2
22.12.2000;45,625;70,2970297;43,76;85,70263664;20,26359143;103,36;107,38;2,62;1;0;2;2;2;2;2;2
26.12.2000;45,75;64,14342629;30,71;82,96163595;10,74130106;101,94;98,28;2,83;1;1;2;2;2;0;2;0
27.12.2000;46,375;70,95435685;36,1;84,34568816;15,75663027;109,52;104,67;3,07;1;0;2;2;2;2;2;2
