Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;67,140625;;;;;;;;;;;;;;;
6.09.2000;66;;;;;;;;;;;;;;;
7.09.2000;67,25;;;;;;;;;;;;;;;
8.09.2000;67,53125;;;;;;;;;;;;;;;
11.09.2000;67,9375;;;;;;;;;;;;;;;
12.09.2000;67,703125;;;;;;;;;;;;;;;
13.09.2000;68,328125;;;;;;;;;;;;;;;
14.09.2000;67,5625;;;;;;;;;;;;;;;
15.09.2000;67,1875;;;;;;;;;;;;;;;
18.09.2000;67,125;;;;;;;;;;;;;;;
19.09.2000;68,3125;;;;;;;;;;;;;;;
20.09.2000;67,890625;;;;;;;;;;;;;;;
21.09.2000;70,125;;;;;;;;;;;;;;;
22.09.2000;73,1875;;;;;;;;;;;;;;;
25.09.2000;72,25;69,67509025;;;7,609960438;86,96;;;;;2;;2;0;2;2
26.09.2000;70,25;65,34988713;;;6,439393939;59,13;;;;;2;;0;0;2;2
27.09.2000;72,875;68,48049281;;;8,364312268;94,85;;;;;2;;2;0;2;2
28.09.2000;73,125;68,41563786;;;8,283202221;98,97;;;;;2;;2;0;2;2
29.09.2000;74,4375;70,19417476;;;9,567617295;120,62;;;;;2;;2;2;2;2
2.10.2000;74;69,31927133;;91,95617309;9,30071544;94,02;133,31;;;;2;2;2;0;2;2
3.10.2000;74;68,09571286;;87,27957567;8,300937571;94,02;113,36;;;;2;2;2;0;2;2
4.10.2000;73,5625;69,55193483;;80,45269465;8,88066605;88,03;88,85;;;;2;2;2;0;2;2
5.10.2000;75,3125;74,29906542;;90,74484598;12,09302326;111,97;121,78;;;;2;2;2;2;2;2
6.10.2000;76,0625;75,67324955;;91,56616391;13,31471136;109,16;123,89;;;;2;2;2;2;2;2
9.10.2000;75,3125;70,62615101;;81,93348953;10,24702653;90,82;92,6;;;;2;2;2;2;2;2
10.10.2000;76,875;74,80586713;;89,64887505;13,23360184;109,94;120,38;4,51;;;2;2;2;2;2;2
11.10.2000;76,5;69,61538462;;83,09381602;9,090909091;94,44;102,04;4,43;;;2;2;2;0;2;2
12.10.2000;77,1875;64,41441441;;84,95159558;5,465414176;104,72;113,1;4,38;;;2;2;2;0;2;0
13.10.2000;76,1875;64,12556054;;75,15619246;5,44982699;85,59;82,6;4,19;;;2;0;2;0;2;0
16.10.2000;76,875;76,23762376;;79,22903428;9,430604982;95,5;98,13;4,06;;;2;0;2;2;2;2
17.10.2000;78,1875;73,48066298;;88,47610907;7,289879931;123,19;134,4;4,06;;;2;2;2;2;2;2
18.10.2000;78,1875;72,88135593;;87,9004866;6,923076923;100;124,49;4;;;2;2;2;2;2;2
19.10.2000;77,5625;65,06024096;;79,43454016;4,198152813;86,49;91,77;3,84;;;2;0;2;0;2;2
20.10.2000;81,875;77,63157895;57,62;112,5638298;10,64189189;179,73;235,24;4,12;2;2;2;2;2;2;2;2
23.10.2000;84,75;81,38686131;64,88;118,6942504;14,52702703;134,59;294,83;4,58;2;2;2;2;2;2;2;2
24.10.2000;85,4375;84,17266187;66,34;112,1300969;16,14273577;106,15;272,64;4,94;2;2;2;2;2;2;2;2
25.10.2000;87,3125;84,28571429;64,29;110,7753913;15,93360996;118,52;263,1;5,34;2;2;2;2;2;2;2;2
26.10.2000;86,6875;80,57553957;55,75;98,82982483;13,96877568;94,79;186,04;5,52;2;2;2;2;2;2;2;2
27.10.2000;88;85,36585366;60,57;98,17960088;16,84647303;105,73;170,45;5,72;2;2;2;2;2;2;2;2
30.10.2000;88,6875;84,61538462;54,79;95,065602;15,36585366;105,82;147,3;5,86;0;0;2;2;2;2;2;2
31.10.2000;89,9375;87,45644599;58,47;94,77059627;17,56535948;110;140,12;6,01;2;2;2;2;2;2;2;2
1.11.2000;89,75;86,02150538;52,19;89,28525004;16,27530364;98,64;117;6,03;0;0;2;2;2;2;2;2
2.11.2000;89,125;87,91208791;50,64;82,83171624;16,98113208;94,09;94,52;5,92;0;0;2;2;2;2;2;2
3.11.2000;87,875;81,20567376;42,39;74,65541615;14,30894309;84,21;68,48;5,64;1;0;2;0;2;2;2;2
6.11.2000;90;82,03389831;44,18;81,25736999;15,10791367;100,51;88,55;5,55;1;0;2;2;2;2;2;2
7.11.2000;86,875;70,14492754;36,71;65,00590904;11,11111111;74,87;40,79;5,13;1;0;2;0;0;2;2;2
8.11.2000;90,8125;76,63316583;48,34;80,74882905;17,08299758;106,53;90,75;5,1;0;0;2;2;2;2;2;2
9.11.2000;90,4375;70,44776119;37,11;76,46597721;10,45801527;95,8;80,37;4,98;1;0;2;0;2;2;2;2
10.11.2000;91,5;67,64705882;34,61;79,56219472;7,96460177;111,34;94,12;4,92;1;1;2;0;2;0;2;2
13.11.2000;89,375;59,57446809;32,04;66,62938114;4,608632041;64,95;53,15;4,62;1;1;0;0;0;0;2;0
14.11.2000;91,0625;59,20245399;36,62;74,7594076;4,294917681;90,91;85,76;4,49;1;1;0;0;2;0;2;0
15.11.2000;91,625;62,15384615;42,42;77,49740902;5,695746215;102,6;98,7;4,38;1;1;2;0;2;0;2;0
16.11.2000;90,1875;55,35168196;40,87;67,01114915;2,485795455;69,74;53,98;4,12;1;1;0;0;0;0;2;0
17.11.2000;88,5;49,56268222;40,06;45,50095719;-0,21141649;34,21;-15,99;3,71;1;1;0;0;0;0;0;0
20.11.2000;90,375;50,99150142;45,69;68,28954954;0,486448923;73,68;55,96;3,52;0;0;0;0;0;0;0;0
21.11.2000;92;54,78723404;51,76;90,43297403;2,506963788;107,89;132,3;3,47;0;0;0;2;2;0;0;0
22.11.2000;90,6875;53,22997416;52,13;67,5155756;1,75315568;74,39;54,12;3,28;0;0;0;0;0;0;0;0
24.11.2000;89,4375;53,22997416;54,17;43,60579913;1,778093883;50;-22,68;2,98;0;0;0;0;0;0;0;0
27.11.2000;91,625;53,35051546;55,32;81,53952076;1,805555556;92,68;107,19;2,9;2;2;0;2;2;0;0;0
28.11.2000;92,625;62,99435028;65,78;94,00261141;6,618705036;112,2;159,15;2,9;2;2;2;2;2;0;2;0
29.11.2000;94,875;59,93883792;61,88;114,3736934;4,473503097;154,55;262,4;3,05;2;2;0;2;2;0;2;0
30.11.2000;92,6875;55,05617978;56,04;79,83635367;2,487906012;65,69;106,14;2,95;2;2;0;0;0;0;2;0
1.12.2000;90,625;48,11827957;48,99;50,15525437;-0,956284153;33,33;-1,69;2,65;0;0;0;0;0;0;0;0
4.12.2000;91,9375;55,71030641;57,03;66,78281046;2,867132867;53,92;58,9;2,51;2;2;0;0;0;0;2;0
5.12.2000;90;47,6584022;48,45;37,69024871;-1,166781057;23,53;-46,42;2,19;0;0;0;0;0;0;0;0
6.12.2000;89,5625;45,42936288;47,23;25,43815765;-2,251023192;16,67;-88,23;1,88;0;0;0;0;1;0;0;0
7.12.2000;91,0625;51,93370166;53,13;51,57496287;0,97020097;40,2;3,09;1,75;0;0;0;0;0;0;0;0
8.12.2000;89,5625;52,36768802;52,69;26,5004061;1,200564972;16,67;-83,79;1,5;0;0;0;0;1;0;0;0
11.12.2000;90,625;50,57803468;50,37;45,52045958;0,276625173;21,84;-17;1,37;0;0;0;0;0;0;0;0
12.12.2000;91,375;48,4939759;48,63;56,91778192;-0,679347826;35,63;21,36;1,33;0;0;0;0;0;0;0;0
13.12.2000;92;53,27102804;53,5;67,00153789;1,447277739;47,13;55,46;1,33;0;0;0;0;0;0;0;0
14.12.2000;91;53,94321767;53,1;49,97959996;1,747030049;28,74;-2,19;1,23;0;0;0;0;0;0;0;0
15.12.2000;90,375;46,57534247;45,86;38,74526035;-1,36425648;15,29;-40,65;1,08;0;0;0;0;1;0;0;0
18.12.2000;89,3125;40,9556314;42,31;17,68979357;-3,576248313;-4,71;-116,16;0,86;1;1;0;1;1;0;1;0
19.12.2000;91,5;40,75342466;44,97;57,29241908;-3,557312253;39,33;22,28;0,87;1;1;0;0;0;0;1;0
20.12.2000;93,375;51,91637631;57,07;88,81228548;0,741739717;120,37;139,25;1,03;2;2;0;2;2;0;0;0
21.12.2000;92,5;55,59701493;60,39;71,44612331;2,068965517;78,46;69,94;1,07;2;2;0;0;0;0;2;0
