Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;5,210938;;;;;;;;;;;;;;;
6.09.2000;5;;;;;;;;;;;;;;;
7.09.2000;4,828125;;;;;;;;;;;;;;;
8.09.2000;4,890625;;;;;;;;;;;;;;;
11.09.2000;4,578125;;;;;;;;;;;;;;;
12.09.2000;4,970703;;;;;;;;;;;;;;;
13.09.2000;4,828125;;;;;;;;;;;;;;;
14.09.2000;4,8125;;;;;;;;;;;;;;;
15.09.2000;4,71875;;;;;;;;;;;;;;;
18.09.2000;4,734375;;;;;;;;;;;;;;;
19.09.2000;5,25;;;;;;;;;;;;;;;
20.09.2000;4,734375;;;;;;;;;;;;;;;
21.09.2000;4,828125;;;;;;;;;;;;;;;
22.09.2000;4,945313;;;;;;;;;;;;;;;
25.09.2000;5,023438;46,57632048;;;-3,598200554;66,28;;;;;0;;0;0;0;0
26.09.2000;5,007813;50,15361965;;;0,15626;63,95;;;;;0;;0;0;0;0
27.09.2000;4,984375;53,26264172;;;3,236245955;60,47;;;;;0;;0;0;0;0
28.09.2000;5,015625;52,64462726;;;2,555910543;65,12;;;;;0;;0;0;0;0
29.09.2000;5,007813;60,43644351;;;9,385676451;63,95;;;;;2;;0;0;2;0
2.10.2000;5;50,87514913;;63,20712163;0,589393492;52,94;40,53;;;;0;0;0;0;0;0
3.10.2000;5,1875;60,45453937;;92,82786929;7,443365696;88,24;145,72;;;;2;2;2;0;2;0
4.10.2000;5,085938;57,57576933;;75,77255362;5,681828571;69,12;82,4;;;;0;0;0;0;2;0
5.10.2000;5,375;66,40625;;106,7315931;13,90728477;123,53;209,67;;;;2;2;2;0;2;2
6.10.2000;4,960938;54,72313844;;51,76244167;4,785489109;35,37;3,75;;;;0;0;0;0;0;0
9.10.2000;4,875;40,47619048;;37,04078389;-7,142857143;21,95;-48,06;;;;0;0;0;0;1;0
