Date;Close;RSI;TNRSI;BB PERCENT;ROC-14;SO;CCI;PPO;OP1;OP2;OP3;OP4;OP5;OP6_RSI_3070;OP7_RSI_4555;OP8_RSI_3565
5.09.2000;11,796875;;;;;;;;;;;;;;;
6.09.2000;11,5625;;;;;;;;;;;;;;;
7.09.2000;11,476563;;;;;;;;;;;;;;;
8.09.2000;11,3125;;;;;;;;;;;;;;;
11.09.2000;11,6875;;;;;;;;;;;;;;;
12.09.2000;11,429688;;;;;;;;;;;;;;;
13.09.2000;11,4375;;;;;;;;;;;;;;;
14.09.2000;11,8125;;;;;;;;;;;;;;;
15.09.2000;11,585938;;;;;;;;;;;;;;;
18.09.2000;11,398438;;;;;;;;;;;;;;;
19.09.2000;11,789063;;;;;;;;;;;;;;;
20.09.2000;11,539063;;;;;;;;;;;;;;;
21.09.2000;11,804688;;;;;;;;;;;;;;;
22.09.2000;12,226563;;;;;;;;;;;;;;;
25.09.2000;12,164063;55,55556564;;;3,11258702;93,16;;;;;0;;2;0;2;0
26.09.2000;12,179688;60,00001296;;;5,337842162;94,87;;;;;2;;2;0;2;0
27.09.2000;12,25;62,59541786;;;6,73927377;102,56;;;;;2;;2;0;2;0
28.09.2000;12,429688;68,10128272;;;9,875695028;119,17;;;;;2;;2;0;2;2
29.09.2000;12,34375;61,73184777;;;5,614973262;91,67;;;;;2;;2;0;2;0
2.10.2000;13,242188;76,36363636;;123,6568401;15,85782569;178,79;309,63;;;;2;2;2;2;2;2
3.10.2000;13,164063;74,61024861;;106,4297246;15,09563279;95,76;209,58;;;;2;2;2;2;2;2
4.10.2000;12,820313;64,49438713;;86,23614454;8,531750265;77,12;119,97;;;;2;2;0;0;2;0
5.10.2000;13,101563;71,46017091;;92,45075197;13,0815908;92,37;142,06;;;;2;2;2;2;2;2
6.10.2000;12,867188;70,52401173;;79,82384296;12,88553747;79,66;95,71;;;;2;0;0;2;2;2
9.10.2000;12,875;66,99265455;;77,29485166;9,211393645;78,44;86,99;;;;2;0;0;0;2;2
10.10.2000;13,234375;75,65010676;;87,71633251;14,69193816;99,54;123,45;4,86;;;2;2;2;2;2;2
11.10.2000;13,1875;72,40505156;;82,6409774;11,71409189;96,2;102,53;4,77;;;2;2;2;2;2;2
12.10.2000;12,6875;57,28394157;;60,73313715;3,769963807;48,55;30,54;4,34;;;0;0;0;0;2;0
13.10.2000;12,984375;62,06895639;;70,9575732;6,74373357;76,09;62,36;4,13;;;2;0;0;0;2;0
16.10.2000;13,617188;67,89882823;;94,45666546;11,80243698;135,29;141,72;4,31;;;2;2;2;0;2;2
